Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free,Egg Free,Fish Free,Peanut Free,Shellfish Free,Treenut Free,Wheat Free,"Craving something sweet and high in protein? Look no further than Premier Protein High Protein 30 G Shakes in Cake Batter Delight! Made with milk protein concentrate and natural and artificial flavors, this delicious shake is perfect for on-the-go or after a workout. With 30 grams of protein, only 3 grams of fat, and 1 gram of sugar per 11 fl oz serving, it's a guilt-free treat that will keep you feeling satisfied. Plus, it's kosher certified! Instacart offers same-day delivery or pickup so you can enjoy this tasty shake whenever you want!",Soy Free
"EVOLVE Protein Shake , Vanilla",,$15.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f6a4db0-ed69-4d7c-859c-fc65422a2581.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9ac3515-6237-4047-b6d1-04c4b5fa6cb2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5295448-2632-48ec-b1db-a49adc581893.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc098d17-ed9d-4e13-a48f-611e4f64a9c1.png 4x",,,"Good. Simple. Protein. EVOLVE didn't set out to be just another protein. Our goal was to be a good protein, in every way possible. EVOLVE protein shakes are made with only 10-11 clean, simple, and non-GMO ingredients. They are free of dairy, soy, gluten and artificial flavors. Our goal is to add delicious simplicity to a complicated world. Be more good with less, and thrive on a foundation that simple is better, delicious is best.,• Plant-Based,• No Artificial Flavors,• No Artificial Sweeteners,• Vegan","Water, Pea Protein Isolate, Soluble Corn Fiber, Contains Less Than 2% Of Cane Sugar, Natural Flavor, Tricalcium Phosphate, Potassium Chloride, Gellan Gum, Purified Stevia Leaf Extract, Cyanocobalamin (vitamin B12).",Refrigerate after opening. Do not freeze.,Notice: Use this product as a food supplement only. Do not use for weight reductions.,,,,,,,,,
"Orgain Organic Nutrition Vegan Protein Shake, Plant Based - Smooth Chocolate",,$15.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ae78824-f56b-4ac1-a348-ec7a958025fb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_09865599-38ff-4885-8466-dbf6b03c988e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2a729b9-cdbd-41a3-a345-fd69f55d01fe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3dcb76f-4c4b-4509-8655-64c5183a1bba.jpg 4x",Gluten Free,,"For those in need of a shake that’s as delicious as it is nutritious, look no further. We’re serious about good, clean nutrition, and when we say “good” – we mean it in every sense of the word! It can’t just be good for you; it’s got to taste GOOD too (great actually)! These powerhouses were no exception and were designed to make plant-protein as smooth, creamy, and grit-free as possible, all while providing delicious and optimal all-in-one nutrition. Conveniently portable and packed with 16 grams of plant-based protein per serving, every shake is Certified USDA Organic and made with high-quality ingredients, like an organic blend of fruits and veggies powder, and 22 essential vitamins and minerals, including B12, Zinc, Vitamin C, and Vitamin D to help in immune support. You also won’t find any GMOs, carrageenan, soy, gluten, or artificial colors, flavors, sweeteners, or preservative in these nutritional powerhouses. Not to mention, they’re perfect for the busy professional, parent, athlete, or anyone needing a quick snack during their day and are available to enjoy in two enticing flavors: creamy chocolate and vanilla bean. Good, clean, and all-in-one nutrition ready for you to take it on the go, whenever and wherever you need it.","Filtered Water, Orgain Organic Protein Blend (organic Pea Protein, Organic Chia Seeds), Organic Rice Dextrin, Organic Natural Flavors Organic Cane Sugar, Organic High Oleic Sunflower Oil, Organic Alkalized Cocoa, Organic Sunflower Lecithin, Tripotassium Citrate, Tricalcium Phosphate, Magnesium Phosphate, Orgain Vitamin & Mineral Blend Sodium Ascorbate, Zinc Gluconate, D-alpha Tocopheryl Acetate, Manganese Sulfate, Niacinamide, Beta Carotene, Potassium Iodide, Calcium-d-pantothenate, Biotin, Chromium Chloride, Copper Gluconate, Ergocalciferol, Sodium Molybdate, Folic Acid, Pyridoxine Hydrochloride, Riboflavin, Thiamine, Sodium Selenate, Methylcobalamin), Sodium Bicarbonate, Gellan Gum, Orgain Organic Fruit & Vegetable Blend™ (organic Apple Fiber, Organic Acai, Organic Beet, Organic Kale, Organic Raspberry, Organic Spinach, Organic Tomato, Organic Banana, Organic Blueberry, Organic Carrot), Sea Salt, Organic Monk Fruit Extract.","Chill, Shake, And Enjoy!,Refrigeration Not Required Until Opened",,,,,,,,,,
"SlimFast Meal Replacement Shake, Creamy Milk Chocolate, 8 Pack",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d4f17a5-fc91-43f0-b8d0-7771acb0d085.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ad06cab-b39c-4d9f-b228-fcda90e10803.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1cd9f76-86e1-4c1a-a20a-694cb4d118cc.png 4x",,,"SlimFast Original Creamy Milk Chocolate meal replacement shakes are a trusted, convenient ready to drink meal replacement. Unleash your inner chocolate lover with confidence knowing that each bottle provides the protein, fiber, vitamins and minerals your body deserves all while keeping hunger at bay for up to four hours. Dive into this classic flavor indulgence without compromise. This gluten-free indulgence is smartly crafted so you’ll stay on track and on plan to reach your weight-loss goals nutritiously and deliciously. How sweet is that? Part of the clinically proven SlimFast Plan, these shakes make weight loss as easy as 1-2-3. Enjoy one sensible meal, two SlimFast meal replacements, and three snacks. The SlimFast Plan is clinically proven to help you lose weight fast and keep it off!","Fat Free Milk, Water, Sugar, Cocoa Processed With Alkali, Canola Oil, Fructose, Maltodextrin, Milk Protein Concentrate, Cellulose Gel, Cellulose Gum, High Fructose Corn Syrup, Natural & Artificial Flavors, Mono & Diglycerides, Potassium Phosphate, Soy Lecithin, Calcium Phosphate, Gellan Gum, Carrageenan, Sucralose, Acesulfame Potassium, Vitamins And Minerals: Magnesium Phosphate, Calcium Phosphate, Sodium Ascorbate, Zinc Gluconate, Sodium Selenite, Dl-alpha-tocopheryl Acetate, Ferric Orthophosphate, Folic Acid, Potassium Iodide, Niacinamide, Phytonadione, Vitamin A Palmitate, Cholecalciferol, Manganese Sulfate, Calcium D-pantothenate, Sodium Molybdate, Cyanocobalamin, Chromium Chloride, Biotin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Riboflavin","The Slimfast Plan: (1) One Sensible Meal: Enjoy your favorite foods. (2) Replace two meals a day with shakes, smoothies, bars. (3) Indulge in Three Snacks: Satisfy hunger between meals.",Contains milk and soy.,,,,,,,,,
"OWYN Protein Shake, Plant Protein, No Nut Butter Cup, 4 Pack",,$13.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb10963e-2dee-4ac1-9d2f-9fee3d94e786.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6b8111aa-513b-41d2-90ca-d6a3fe749e9a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8dd87770-e71b-4eb4-a461-aef500c382df.png 4x","Gluten Free,Peanut Free,Soy Free,Treenut Free,Wheat Free",,"100% plant powered. Elite pro. Only what you need. No nut butter cup. 100% plant based. What's Inside Matters: Only What You Need: 100% plant based. 32 g protein. All 9 essential amino acids. Zero sugar. Keto friendly. Peas from North America. Nothing You Don't: Dairy, wheat/gluten, soy, egg, peanuts, nuts, fish, shellfish, chemicals, fillers, artificial colors, flavors or sweeteners. Free from the top 8 allergens. Be all in. Tested for top 8 allergens. Owyn's finished products are independently tested for detection of the top 8 allergens every lot, every time.","Water, Owyn™ Protein Blend (pea Protein, Organic Pumpkin Seed Protein, Flaxseed Oil), Sunflower Oil, Soluble Fiber, Cocoa Powder, Sunflower Lecithin, Gellan Gum / Acacia Gum Blend, Himalayan Pink Sea Salt, Monk Fruit Extract, Greens Blend (spinach, Kale, Broccoli), Natural Flavor (peanut-free / Tree Nut- Free), Guar Gum",{},,,,,,,,,,
"Premier Protein Protein Shake, Cookie Dough",,$13.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73513561-22ae-4e12-b81d-cd8d48fa5eb0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_649c7257-39be-4434-8c11-200e5e164ebe.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_375a76b5-692f-4aed-927c-09dc7be385c5.png 4x",Gluten Free,,,"Water, Milk Protein Concentrate, Calcium Caseinate†, Contains Less Than 1% Of High Oleic Sunflower Oil Or Soybean Oil, Natural And Artificial Flavors, Cellulose Gel And Cellulose Gum, Salt, Sucralose, Acesulfame Potassium, Carrageenan, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Hexametaphosphate, Vitamin And Mineral Blend (dl-alpha-tocopheryl Acetate [vitamin E], Zinc Glycinate Chelate, Ferric Orthophosphate, Vitamin A Palmitate, Niacinamide, Phytonadione [vitamin K1], Potassium Iodide, Cholecalciferol [vitamin D3], Copper Gluconate, Calcium D-pantothenate, Manganese Sulfate, Sodium Selenite, Biotin, Sodium Molybdate, Folic Acid, Thiamine Mononitrate [vitamin B1], Cyanocobalamin Mtamin B12], Pyridoxine Hydrochloride Mvitamin B6], Riboflavin Mtamin B2], Chromium Polynicotinate), Magnesium Phosphate, Sodium Ascorbate. †source Of Protein","Shake well, serve cold, & enjoy!,To ensure best quality, store in a cool dry place.",Contains milk and soy.,,,,,,,,,
Carnation Breakfast Essentials Creamy Strawberry,,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_599c5c93-1075-4706-854e-7a4d8cfbcf27.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ff2d0c5-a7a6-405f-a81a-fb1c2a4ef661.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ee174d7-3271-4703-9d6d-fdd871f6a54c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb97e160-647d-461f-9bc7-722fdf0f6e02.jpg 4x",Gluten Free,,Kid approved taste. 21 vitamins + minerals. Contains no fruit. Breakfast drink on-the-go. Good nutrition from the start. Our Mission - Give kids essential nutrients they need to start the day with each yummy sip.,"Water Glucose Syrup, Milk Protein Concentrate, Sugar, Canola Oil, And Less Than 2% Of Vitamins And Minerals, Soy Protein Isolate, Cellulose Gel And Gum, Salt, Natural Flavor, Stevia Leaf Extract Carrageenan #vitamins And Minerals: Magnesium Phosphate Potassium Citrate, Potassium Chloride, Sodium Ascorbate, Calcium Carbonate, Choline Bitartrate Calcium Phosphate, Ascorbic Acid, Ferrous Sulfate Dl-alpha Tocopheryl Acetate, Niacinamide, Zinc Sulfate, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin, Thiamine Hydrochloride, Copper Sulfate, Vitamina Palmitate, Folic Add Potassium Iodine Vitamin Kl, Sodium Molybdate, Biotin, Chromium Chloride, Vitamin Sodium Selenite, Vitamin By","Nutritionally appropriate for ages 4 years and older, including teens and adults. Shake well. Serve cold.,Do not freeze. When unopened, store in a cool dry place. Once opened, reclose, refrigerate and use within 24 hours.",Contains: milk and soy ingredients,,,,,,,,,
Ensure High Protein Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,,$26.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0f5f39f-fc12-4ecd-87ec-fbc5c326a4ed.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_730d20f5-b2a8-478b-b040-2c8b9398202a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cbc7b5a4-d43e-4e1a-b437-dff1eb50d6c9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02ab002b-5a65-4471-844a-7f8099a7cdac.jpg 4x",Gluten Free,,"From the #1 doctor-recommended brand, Ensure High Protein shakes help you stay active and energetic.,Each shake is made with key nutrients designed to support immune system health with 16 grams of,protein, only 2 grams of fat, 27 essential vitamins & minerals, and 160 calories. These meal replacement,protein drinks come ready-to-drink and in 3 delicious flavors: Milk Chocolate, Strawberry, and Vanilla.,Great for lactose intolerance‡ and is gluten-free.,* 90 mg vitamin C and 12 mcg vitamin D compared to 45 mg vitamin C and 8 mcg vitamin D per serving,in previous formulation.,† Ensure High Protein: 16g protein/160 calories per 8 fl oz vs Ensure Original: 9g protein/220,calories per 8 fl oz.,‡ Not for people with galactosemia.","Water, Milk Protein Concentrate, Corn Maltodextrin, Sugar, Soy Protein Isolate, Cocoa Powder (processed With Alkali), Canola Oil, Less Than 0.5% Of: Vitamins And Minerals†, Natural And Artificial Flavor, Cellulose Gel, Salt, Carrageenan, Cellulose Gum, Acesulfame Potassium, Gellan Gum, And Sucralose, †vitamins And Minerals: Calcium Carbonate, Magnesium Phosphate, Sodium Citrate, Sodium Ascorbate, Choline Chloride, Potassium Citrate, Calcium Phosphate, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Riboflavin, Potassium Chloride, Copper Sulfate, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Chromium Chloride, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D3, And Vitamin B12","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
Ensure Plant-Based Vegan Protein Vanilla Nutrition Shake | 4 Pack,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69fc6556-ca69-463b-aae0-f2f89f07f941.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_61909f83-0317-4b47-9a84-d0840834e704.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b749962-09b3-410e-a200-027b35fac655.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e52970e-62cd-4d18-b707-9565644c804f.jpg 4x",,,"Ensure Plant-Based Protein nutrition shake has 20g of plant-based protein, from a blend of,fava bean and pea, to help support muscles. Each vegan-friendly, non-GMO*,shake is dairyfree, soy-free, and has no artificial sweeteners, colors, or flavors. It also has 25 essential,vitamins and minerals, including vitamins A and D, zinc, and antioxidants (vitamins C & E,and selenium) to support immune health. Each nutrition shake contains 5g fiber to support,digestive health. It comes in 2 delicious flavors. From Ensure, the #1 doctor-recommended,brand.†,This product is gluten-free and suitable for lactose intolerance.,* Ingredients not genetically engineered.,† Among doctors who recommend liquid nutritional products to their patients.","Water, Fava Bean Protein Isolate, Organic Sugar, High Oleic Safflower Oil, Chicory Root Fiber, Pea Protein Concentrate, Less Than 0.5% Of: Vitamins And Minerals†, Cellulose Gel, Natural Flavor, Oat Fiber, Sunflower Lecithin, Cellulose Gum, Stevia Leaf Extract, And Monk Fruit Extract, †vitamins And Minerals: Calcium Phosphate, Magnesium Phosphate, Potassium Citrate, Sodium Citrate, Ascorbic Acid, Potassium Hydroxide, Choline Chloride, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Niacinamide, Zinc Sulfate, Calcium Pantothenate, Thiamine Hydrochloride, Pyridoxine Hydrochloride, Riboflavin, Manganese Sulfate, Vitamin A Palmitate, Copper Sulfate, Folic Acid, Potassium Iodide, Chromium Chloride, Phylloquinone, Sodium Selenate, Vitamin D₃ (plant-based), Sodium Molybdate, Biotin, And Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",,,,,,,,,,
Bolthouse Farms Protein Plus Chocolate Peanut Butter,,$3.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_474a8e1c-64c6-4e91-8856-efbabca9daae.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24370eac-d4db-4353-8a12-1df86ce06c0b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6be7d0c0-28bb-4d69-ad7d-cad614176e02.png 4x",Peanut Free,,"Hearty almond butter, peanut butter flavor and rich chocolate come together in this satisfying blend – we call that the complete package.,100 years of farming have made us big believers in cultivating more. So we fill every bottle with loads of fruits & veggies, carefully crafted into delicious blends that taste as good as they feel.","Water, 2% Reduced Fat Milk, Cane Sugar, Almond Butter, Soy Protein Isolate, Whey Protein Concentrate, Cocoa Processed With Alkali, Natural Flavor, Dipotassium Phosphate, Acacia Gum, Monk Fruit Juice Concentrate, Salt, Ascorbic Acid (vitamin C), Gelian Gum, Carrageenan, Vitamin A (palmitate), Vitamin B1 (thiamine Mononitrate), Vitamin B2 (riboflavin), Vitamin B3 (niacinamide), Vitamin B5 (calcium D-pantothenate), Vitamin B6 (pyridoxine Hcl), Vitamin B7 (biotin), Vitamin B9 (folic Acid), Vitamin B12 (cyanocobalamin), Vitamin D3 (cholecalciferol), Vitamin E (d-alpha Tocopherol Acetate), Calcium (tricalcium Phosphate), Phosphorus (tricalcium Phosphate, Magnesium Phosphate), Magnesium (magnesium Phosphate), Chromium (chromium Chloride), Iodine (potassium Iodide), Iron (ferric Orthophosphate), Zinc (zinc Oxide), Copper (copper Gluconate)","Shake well. Settling is natural.,Perishable. Keep refrigerated.","Contains: milk, soy, almond. This product does not contain peanut allergen and was made in a peanut free facility.",,,,,,,,,
"MUSCLE MILK Protein Shake, Chocolate Peanut Butter",,$11.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_082bd028-10fe-49ff-a020-6123dd4785ff.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_12629457-583c-428e-aaf7-c9e14a5ad166.png 4x",Milk Free,,Advanced nutrition. Non-dairy. Contains no milk / includes milk proteins. Please recycle.,"Water, Milk Protein Isolate, Calcium Caseinate (milk Derivative), Contains Less Than 2% Of Sodium Caseinate (milk Derivative), Soluble Corn Fiber, Natural And Artificial Flavor, Cocoa (processed With Alkali), High Oleic Sunflower Oil, Cellulose Gel, Inulin, Tripotassium Phosphate, Potassium Chloride, Potassium Phosphate, Sodium Polyphosphates, Cellulose Gum, Sucralose, Carrageenan, Acesulfame Potassium, Salt, Ascorbic Acid (vitamin C), Sodium Citrate, Ferric Pyrophosphate, Calcium Phosphate, Vitamin E Acetate, Niacinamide, Zinc Oxide, Copper Gluconate, Calcium Pantothenate, Vitamin A Palmitate, Pyridoxine Hydrochloride (vitamin B6), Vitamin D3, Thiamin Mononitrate (vitamin B1), Riboflavin, Folic Acid, Potassium Iodide, Chromium Chloride, Biotin, Cyanocobalamin (vitamin B12).",{},Contains milk ingredients.,,,,,,,,,
"Ensure High Protein Nutritional Shake, Vanilla",,$26.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7441d68e-2674-42c9-9065-b4c0d22aa25f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1cbc35e0-7604-4db1-8c51-d9f4bb425e85.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca155cc0-588b-4699-98b6-1ae977b27a6c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8895e21-c89f-4a2d-bdef-158c21be36c0.jpg 4x",Gluten Free,,"From the #1 doctor-recommended brand, Ensure High Protein shakes help you stay active and energetic.,Each shake is made with key nutrients designed to support immune system health with 16 grams of,protein, only 2 grams of fat, 27 essential vitamins & minerals, and 160 calories. These meal replacement,protein drinks come ready-to-drink and in 3 delicious flavors: Milk Chocolate, Strawberry, and Vanilla.,Great for lactose intolerance‡ and is gluten-free.,* 90 mg vitamin C and 12 mcg vitamin D compared to 45 mg vitamin C and 8 mcg vitamin D per serving,in previous formulation.,† Ensure High Protein: 16g protein/160 calories per 8 fl oz vs Ensure Original: 9g protein/220,calories per 8 fl oz.,‡ Not for people with galactosemia.","Water, Milk Protein Concentrate, Corn Maltodextrin, Sugar, Soy Protein Isolate, Canola Oil, Less Than 0.5% Of: Vitamins And Minerals,† Natural And Artificial Flavor, Cellulose Gel, Salt, Carrageenan, Cellulose Gum, Gellan Gum, Acesulfame Potassium, And Sucralose, †vitamins And Minerals: Magnesium Phosphate, Calcium Carbonate, Potassium Citrate, Sodium Citrate, Sodium Ascorbate, Choline Chloride, Calcium Phosphate, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Riboflavin, Potassium Chloride, Copper Sulfate, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Chromium Chloride, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D3, And Vitamin B12","Shake Well.,Serve Cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
"MUSCLE MILK Protein Shake, Plant-Based, Chocolate",,$13.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8334662f-1a81-4b09-9e11-2bde3065251f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a945c4d-7df5-4731-98e7-8ff577d130fa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74572388-d881-4795-b8e4-2558bb771d3e.png 4x",,,,"Water, Pea Protein Isolate, Sugar, Canola Protein Isolate, Natural Flavor, Cocoa (processed With Alkali), Brown Rice Protein Isolate, High Oleic Sunflower Oil, Potassium Phosphate, Sodium Gluconate, Sunflower Lecithin, Potassium Chloride, Purified Stevia Leaf Extract, Gellan Gum, Salt, L-tryptophan, Cyanocobalamin (vitamin B12)",{},Contains no milk,,,,,,,,,
"MUSCLE MILK Protein Shake, Plant-Based, Caramel Vanilla",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c8bfa7a-20e9-437f-a097-9ab10f14bd9b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4fcdc6c9-8b8a-48bb-9966-55c6b551a65c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ee6abf71-0c3b-4f9a-b262-a474573f460b.png 4x",,,,"Water, Pea Protein Isolate, Sugar, Canola Protein Isolate, Natural Flavor, Brown Rice Protein Isolate, High Oleic Sunflower Oil, Potassium Phosphate, Sodium Gluconate, Sunflower Lecithin, Potassium Chloride, Purified Stevia Leaf Extract, Gellan Gum, Salt, L-tryptophan, Cyanocobalamin (vitamin B12)",{},Notice: Use this product as a food supplement only. Do not use for weight reduction.,,,,,,,,,
"Orgain Organic Nutrition Vegan Protein Shake, Plant Based - Vanilla Bean",,$15.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_abcdd8e0-b30b-43ec-968c-78a965201e6d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_410cb0e6-382b-4ce9-8dda-133a5551f7a1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c85db8f-66f9-4e58-895b-482519147ac6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ec09c8a-79c4-40ca-9248-71fa05a2771c.jpg 4x",Gluten Free,,"For those in need of a shake that’s as delicious as it is nutritious, look no further. We’re serious about good, clean nutrition, and when we say “good” – we mean it in every sense of the word! It can’t just be good for you; it’s got to taste GOOD too (great actually)! These powerhouses were no exception and were designed to make plant-protein as smooth, creamy, and grit-free as possible, all while providing delicious and optimal all-in-one nutrition. Conveniently portable and packed with 16 grams of plant-based protein per serving, every shake is Certified USDA Organic and made with high-quality ingredients, like an organic blend of fruits and veggies powder, and 21 essential vitamins and minerals, including B12, Zinc, Vitamin C, and Vitamin D to help in immune support. You also won’t find any GMOs, carrageenan, soy, gluten, or artificial colors, flavors, sweeteners, or preservative in these nutritional powerhouses. Not to mention, they’re perfect for the busy professional, parent, athlete, or anyone needing a quick snack during their day and are available to enjoy in two enticing flavors: creamy chocolate and vanilla bean. Good, clean, and all-in-one nutrition ready for you to take it on the go, whenever and wherever you need it.","Filtered Water, Orgain Organic Protein Blend™(organic Pea Protein, Organic Chia Seeds), Organic Rice Dextrin, Organic Cane Sugar, Organic Natural Flavors, Organic High Oleic Sunflower Oil, Organic Sunflower Lecithin, Organic Inulin, Tripotassium Citrate, Tricalcium Phosphate, Magnesium Phosphate, Orgain Vitamin & Minerals Blend™ (sodium Ascorbate, Zinc Gluconate, D-alpha Tocopheryl Acetate, Manganese Sulfate, Niacinamide, Beta Carotene, Potassium Iodide, Calcium-d-pantothenate, Biotin, Chromium Chloride, Copper Gluconate, Ergocalciferol, Sodium Molybdate, Folic Acid, Pyridoxine Hydrochloride, Riboflavin, Thiamine, Sodium Selenate, Methylcobalamin), Sodium Bicarbonate, Gellan Gum, Orgain Organic Fruit & Vegetable Blend™ (organic Apple Fiber, Organic Acai, Organic Beet, Organic Kale, Organic Raspberry, Organic Spinach, Organic Tomato, Organic Banana, Organic Blueberry, Organic Carrot), Sea Salt, Organic Monk Fruit Extract","Chill, Shake, And Enjoy!,Refrigeration Not Required Until Opened",,,,,,,,,,
Remedy Organics Organic Super Chai Fuel Beverage,$3.99,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7bab972-b87f-426f-be8f-7dae2b97c0d7.png 4x,Gluten Free,,"Almond milk. Hemp seeds. Maca. Cardamom. Prebiotics. 12 g protein. USDA Organic. Certified Organic by Oregon Tilth. Gluten free. Dairy free. Vegan. Non GMO. 100% plant based. Let food be thy medicine and medicine be thy food. - Hippocrates. Almonds: Heart health. Hemp Seeds: Brain health. Maca: Energy. Prebiotics: Gut health. Protein: Muscle recovery. As a holistic nutritionist with a passion for health & wellness, I have always turned to natural remedies for prevention and healing. I believe that good health starts with mindful nutrition. Wholesome food has the power to unleash your body’s natural potential to live each day to its fullest. I created these delicious plant-based beverages with functional ingredients for you to enjoy anytime as a healthy meal replacement, satisfying snack, or as a pre/post workout boost to fuel your daily lifestyle! In good health, - Cindy. Made with love. Instagram: (at)remedyorganics. Discover more www.remedyorganics.com. BPA free.","Organic Almond Milk (water, Organic Almonds), Organic Pea Protein, Organic Coconut Sugar, Organic Hemp Seeds, Organic Natural Flavor, Organic Cinnamon, Organic Gum Acacia, Gellan Gum, Organic Sunflower Lecithin, Organic Nutmeg, Organic Maca, Vitamin Blend (calcium Derived From Seaweed, Vitamin D), Organic Cardamom, Guar Gum, Organic Stevia Extract, Sea Salt, Organic Prebiotic Powder (derived From Tapioca)","Take a deep breath. Shake well. Our natural ingredients may separate.,Perishable. Keep refrigerated.,Consume within 3 days of opening.",Contains almonds and coconut.,,,,,,,,,
