Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
"Nellie & Joe's Juice, Key West Lime",,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_365f6a5f-b5cf-4c94-8cbd-d5569192d962.jpeg 4x,,,"The original. Celebrating over 45 years of excellence. Famous. From concentrate. Nellie's favorite uses: Tropical cocktails; soups - sauces; marinades; salads; natural cleanser (kills germs and odors). 1-800-546-3743 or email. For more information visit www.keylimejuice.com. A Key West tradition. The distinctive flavor of our Famous Key West Lime Juice has long been the favorite choice to make the best key lime pie. Now try our juice as an easy and delicious marinade for seafood, meat & poultry; as the ideal bar mix for tropical cocktails, and in any recipe that calls for fresh squeezed lemon or lime.","Key West Lime Juice From Concentrate, And Less Than 1/10 Of 1% Sodium Benzoate As A Preservative.",Refrigerate after purchase. Best kept refrigerated after purchase. Remove seal. Shake well.,,
"Tropicana 100% Orange Juice, Original, Pure Premium, No Pulp",,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eddbcee2-e302-46f7-9879-c0c0f615a7de.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3dbf5086-eeba-4aa6-87f5-7810c1c9e47b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb7e462d-ca1a-4d18-92cb-9df5a584e657.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_83de61aa-b2f1-458d-88ce-c89092402bfc.png 4x",,,Tropicana Juices are a great tasting and easy way to achieve a power-pack of nutrients with no added sugar. Tropicana Juices have the delicious taste you love and are a convenient way to get more Vitamin C in your diet.,100% Orange Juice,"Shake well for best taste.,Keep refrigerated.,Best if consumed within 7 to 10 days after opening.",Do not consume if inner seal is torn or missing.,
Vive Organic Immunity Boost Wellness Shot,$4.00,$4.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e3585a8-c622-455f-ba29-5de491791a8e.png 4x,,,"We use a farm fresh blend of cold pressed Peruvian ginger root, Hawaiian turmeric, Echinacea root and flower, and black pepper which activates the turmeric along with organic pineapple juice. Take one of our fresh pressed immunity shots before work, school, taking a flight, or with your morning coffee. Feel the kick and give your body the boost it needs to feel good every day. We use superfoods and combine them with organic fruit juices to create a potent daily immunity shot. Our doctor crafted immunity boosters were created with holistic wellness in mind, and we extend that to our stewardship of the planet. We use recycled plastic and packaging, our farmers practice regenerative farming, and we use ugly produce to reduce over 1 million pounds of food waste. We are committed to the freshest ingredients; no added sugar, no artificial ingredients or colors, and never watered down.","Organic Pineapple Juice, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Lemon Juice, Organic Echinacea Purpurea Juice, Organic Ground Black Pepper","Shake it up!,Perishable - Keep refrigerated.",Manufactured in a facility that handles tree nuts.,
Simply Cranberry Cocktail Fruit Juice,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24702606-b1c7-41c0-b6fe-a9cdc34621f8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da0500a7-bcda-4f3a-bc60-443ef459dc7c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9fe9027-98e9-4d74-860b-120d453c46ab.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f326f341-30b9-4f27-b932-0f320a3efdc7.jpg 4x",,,"Simply Cranberry Cocktail is a deliciously simple take on the tart and sweet flavor of cranberry juice. Containing 27% cranberry juice and never from concentrate, Simply Cranberry Cocktail is made with real cranberry juice and cane sugar with other ingredients to achieve a perfect balance.,This all-natural juice beverage is perfect to start your day or refresh your meal—anytime of year.,It makes for a wonderful fruit juice drink on its own or mixed with other juices. That’s because it’s perfectly sweet, perfectly tart and perfectly cranberry.,If you’re looking for a variety of other fruit juice flavors, Simply Juice Drinks have you covered with offerings like Simply Peach, Simply Watermelon and mixed blends like Simply Fruit Punch and Simply Pineapple flavors.,Simply products start with great-tasting fruit and end with great-tasting fruit juices, fruit drinks and fruit smoothies. That’s because we believe the best things in life are made simply. And we hold everything—from all-natural Simply Orange Juice to Simply Lemonade—to the same high standard with our “Fresh Taste Guarantee.” Whatever juice you’re looking for, the choice is simple.,With Simply Cranberry Cocktail, the difference is clear. Clear enough that you can see the all-natural ingredients inside. Because with Simply, there’s nothing to hide.,• Made with real cranberry juice,• Fresh, tart and delicious cranberry taste,• Never from concentrate,• All-natural, Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• With Simply, you always have a “Fresh Taste Guarantee”","Pure Filtered Water, Cranberry Juice, Cane Sugar, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7 -10 days after opening.",,
Ocean Spray Cran-Cherry Juice Drink,$4.59,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fb801b7-4400-49c2-bc7b-7b47584cac05.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d08dea1-2351-4801-8276-f3e5cd9e2566.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c412cd1-3f54-4232-a063-22201750976e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7839f921-900b-4b47-9449-9ffefd050e1b.jpg 4x",,,"The bold taste you crave with only 5 little calories. Try Ocean Spray® Diet Cran-Cherry® Cranberry Cherry Juice Drink. Full flavor. Full of possibilities. If we can make diet drinks taste this good, you cran do anything. Featuring the crisp, clean taste of the juice of real cranberries and the sweet taste of fresh-picked cherries. A radically refreshing beverage. Only 5 calories, 1g of sugar and 2g of carbs in each 8 fl oz serving. An excellent source of vitamin C. This diet cranberry cherry juice drink is made from real fruit juice. It’s a full punch of flavor without compromise. Use this cranberry cherry juice drink as a cocktail mixer for your favorite cocktails or mocktails. Add a tart twist to recipes. Or keep it simple on the rocks with a splash of tonic for a refreshing take on a diet drink. Meet your new favorite addition to any recipe, without the extra calories. All this made possible by the 700+ cranberry farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,• One (1) 64 fl oz bottle of Ocean Spray® Diet Cran-Cherry® Cranberry Cherry Juice Drink,• Enjoy the crisp, refreshing taste of cranberries and the sweet flavor of fresh-picked cherries with just 5 calories and 1g of sugar per serving, for a beverage without compromise,• Made from real fruit juice, this diet juice beverage is an excellent source of vitamin C and a delicious burst of flavor,• Try this diet cranberry cherry juice drink as a cocktail mixer or add a splash of soda water to create refreshing juice drinks and mocktail beverages,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Filtered Water, Cranberry Juice (water, Cranberry Juice Concentrate), Cherry Juice (water, Cherry Juice Concentrate), Natural Flavor, Pectin, Citric Acid, Fumaric Acid, Ascorbic Acid (vitamin C), Sodium Citrate, Sucralose, Malic Acid, Red 40, Acesulfame Potassium, Blue 1","Must refrigerate after opening.,For best quality and freshness use within two weeks after opening.",Safety Cap: Purchase this product only if the cap and neckband are intact.,
Tampico Mango Punch,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e647a54-b322-45b5-a27c-f4ff26d7ed3b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1a5924a-7027-4a5b-b8c1-1f1ce88f594e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3542e48-ef7e-40b5-a40f-2756993f0cd8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b582acc-45f4-47f6-b548-1a2e288eb18a.png 4x",,,"Discover a smooth juice drink teeming with the lush flavors of mango, orange and tangerine. After just a sip, Tampico Mango Punch whisks you away to your own fruity paradise and offers a taste sensation you aren’t likely to forget. Providing 100% daily value of vitamin C per serving, Tampico Mango Punch delights your taste buds with our trademark irresistible flavor. Whether as an addition to morning breakfast or as an afternoon snack, a gallon of Tampico in the fridge will keep everyone satisfied. At only 30 calories and 6 grams of sugar per serving, Tampico Mango Punch delivers on flavor!,• 100% DV vitamin C per serving,• Fat free,• Gluten free,• Medley of mango, orange, and tangerine flavors","Water, High Fructose Corn Syrup, Less Than 2% Of Mango Juice From Concentrate, Orange Juice From Concentrate, Tangerine Juice From Concentrate, Ascorbic Acid (vitaminc), Natural And Artificial Flavors, Potassium Sorbate (preservative), Edta (to Help Protect Flavor), Sucralose, Acesulfame Potassium, Neotame, Citric Acid, Malic Acid, Potassium Citrate, Sodium Citrate, Food Starch Modified, Yellow 6, Corn Oil, Xanthan Gum.","For best quality, refrigerate after opening and consume within 30 days after opening.",,
Ocean Spray Cranberry Pomegranate Juice Drink,$4.59,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04113ed7-eb0a-48c2-be42-1891c00b7d1a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc612931-cc2e-4768-b46a-d37be65da51e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a60991e-62b7-4331-84d7-88dd6a4b7cad.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1705cd66-07d1-479b-8fa2-ba2354a0cb7a.jpg 4x",,,"Radically refreshing. Unapologetically bold. Ocean Spray® Cran-Pomegranate™ Cranberry Pomegranate Juice Drink has a fresh, zingy taste to quench the strongest thirst. The rich flavor of pomegranates and the crisp, tart taste of cranberries make this pomegranate and cranberry juice beverage a bucket list item all on its own. With 100% of your recommended daily value of vitamin C and no high fructose corn syrup, it's a full punch of flavor without compromise. Made from real fruit juice concentrate, it's low sodium and fat-free. Stir Cran-Pomegranate™ into your favorite drinks as a cocktail mixer, freeze into ice pops, or enjoy straight from the bottle. We won't judge. All this made possible by the 700+ cranberry farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,• One (1) 64 fl oz bottle of Ocean Spray® Cran-Pomegranate™ Cranberry Pomegranate Juice Drink,• An unapologetically bold mashup of cranberry and pomegranate made from real juice concentrate for an insanely delicious juice drink that you can feel good about,• 100% of your recommended daily value of vitamin C per serving with no high fructose corn syrup,• Try adding Cran-Pomegranate™ to mixed drinks and beverages for extra bold flavor, use it to add a tart twist to recipes or enjoy on its own,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Filtered Water, Sugar, Cranberry Juice (water, Cranberry Juice Concentrate), Grape Juice (water, Grape Juice Concentrate), Pomegranate Juice (water, Pomegranate Juice Concentrate), Natural Flavor, Fumaric Acid, Malic Acid, Ascorbic Acid (vitamin C), Sodium Citrate","Must refrigerate after opening.,For best quality and freshness, use within two weeks after opening.",Safety cap: purchase this product only if the cap and neckband are intact.,
Juicy Juice Fruit Punch,,$5.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1151c653-c510-4c72-88e0-4cb4ac78288d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc89cf1c-6f8a-478c-8568-87f0b1ccd36b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_05492726-6d2f-434b-8dea-0c576e0a4a22.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4f27893-03cf-45d2-859a-9e5fc4c46c54.jpg 4x",,,"Enjoy the taste of 100% fruit juice with Juicy Juice Fruit Punch. The sweetness in this no sugar added juice comes straight from fruit for a delicious fruit punch juice flavor kids love. With no added sugar, no high fructose corn syrup and no artificial sweeteners, this 100% juice blend is an excellent choice for the whole family. Juicy Juice makes parents and kids happy by providing 3/4 cup of fruit and 100% of the daily value of Vitamin C per juice box. Pack this juice drink in a lunch box or enjoy the strawberry juice box for an on the go drink. This eigth count pack of 6.75 fl oz Juicy Juice Fruit Punch Boxes is perfect for busy families. Try Juicy Juice Fruit Punch in a recloseable bottle, perfect for having ready to drink kids juice on hand. With a variety of kids juices, Juicy Juice is the choice that parents can feel good about! Juicy Juice is goodness made juicy.,• Eight 6.75 fl oz juice boxes of Juicy Juice Fruit Punch,• 100% mixed fruit juice for a delicious fruit punch taste kids love,• This fruit punch juice provides 100% of the recommended daily value of Vitamin C per juice box,• No sugar added juice with no high fructose corn syrup and no artificial sweeteners,• One 6.75 fl oz Juicy Juice box provides 3/4 cup of fruit to help meet kids’ nutritional needs,• Juicy Juice boxes are perfect to go in lunch boxes or for on the go kids drinks","Apple Juice From Concentrate (water, Juice Concentrate), Pear Juice From Concentrate (water, Juice Concentrate), Tangerine Juice From Concentrate (water, Juice Concentrate), Grape Juice From Concentrate (water, Juice Concentrate), Ascorbic Acid (vitamin C), Citric Acid, Natural Flavors.","Shake well before opening.,Refrigerate after opening to maintain freshness and drink within 48 hours.,For best quality use by date stamped on boxes.",Do not drink if boxes are leaking or damaged.,
"Jumex Nectar, Strawberry-Banana",,$0.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52ca51cf-b14d-4f09-bcc1-ac9c9ab02c8f.png 4x,,,Low sodium. Saturated fat-free and cholesterol-free product. From concentrate. Worldwide excellence in quality. Pasteurized product. www.jumex.com. Consumer information call 1-844-217-0742 www.jumex.com. Non-BPA Lining (Can lining produced without the intentional addition of BPA.). Product of Mexico.,"Water, Strawberry Puree From Concentrate, High Fructose Corn Syrup, Banana Puree From Concentrate, Citric Acid, Natural Flavors, Sodium Carboxymethylcellulose, Ascorbic Acid (preservative), Carmine Color, Sucralose.",Shake gently before opening.,,
Simply Orange Pulp Free Orange Juice W/ Mango,,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5a2e99d-7a07-41a6-a70b-c4e94b97b9b1.png 4x,,,"For Simply Orange with Mango, we carefully select real, ripe oranges and turn them into a deliciously simple pulp-free orange juice blend with a twist—the luscious taste of mangoes. This delicious blend of fruit flavors is not from concentrate.,Simple ingredients and the Simply “Fresh Taste Guarantee” make for a refreshing all-natural, non-GMO orange juice blend. Simply Orange with Mango is 100% pasteurized fruit juice and an excellent source of vitamin C.,Whether you’re looking for the perfect breakfast drink, or a delicious fruit juice to enjoy at any time of day, this refreshing orange juice blend is a simple way to shake up your daily routine.,Simply products start with great-tasting fruit and end with great-tasting fruit juices, fruit drinks and fruit smoothies. That’s because we believe the best things in life are made simply. And we hold everything—from Simply Fruit Punch to Simply Lemonade—to the same high standard with our “Fresh Taste Guarantee.” Whatever juice you’re looking for, the choice is simple.,With Simply Orange with Mango, the difference is clear. Clear enough that you can see the all-natural ingredients inside. Because with Simply, there’s nothing to hide.,• 100% juice blend and pasteurized — never concentrated,• With mango juice, for a boost of fruity flavor,• All-natural, non-GMO and pulp-free,• Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• Excellent source of vitamin C","Orange Juice, Mango Puree, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",Do not reuse.,
Juicy Juice Apple,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8eb5b37-1261-4322-a375-265061ca87e6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_34f6b434-becb-49fe-94ee-2f341f6b14bc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_59d4749f-9d0f-4619-8c3e-c6a7f16234e0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c9a7c7c-b9f2-4c9e-8b1c-2cd282236652.jpg 4x",,,"Enjoy the taste of 100% fruit juice with Juicy Juice Apple Juice. The sweetness in this no sugar added juice comes straight from fruit for a delicious apple flavor kids love. With no added sugar, no high fructose corn syrup and no artificial sweeteners, this 100% apple juice is an excellent choice for the whole family. Juicy Juice makes parents and kids happy by providing one cup of fruit and 100% of the daily value of Vitamin C per 8 fl oz serving. This half gallon of Juicy Juice Apple Juice contains eight servings and should be kept in the refrigerator after opening. Try apple juice in a juice box, perfect for on the go kids drinks and lunchboxes. Juicy Juice is also delicious when enjoyed simply in a kids juice drink glass. With a variety of kids juices, Juicy Juice is the choice that parents can feel good about! Juicy Juice is goodness made juicy.,• One 64 fl oz bottle of Juicy Juice Apple Juice,• 100% juice for a delicious apple taste kids love,• This apple juice provides 100% of the recommended daily value of Vitamin C per 8 fl oz serving,• No sugar added juice with no high fructose corn syrup and no artificial sweeteners,• One 8 fl oz serving of this apple juice provides one cup of fruit to help meet kids’ nutritional needs,• Ideal kids drinks to go with meals and snacks or to be enjoyed in a glass on their own","Apple Juice From Concentrate (water, Juice Concentrate), Ascorbic Acid (vitamin C), Citric Acid.","Shake well before opening.,Refrigerate after opening to maintain freshness and drink within 10 days.,For best quality, use by date stamped on cap.",,
Capri Sun Fruit Punch Naturally Flavored Kids Juice Blend Drink Pouches,,$11.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e4cc7a4-3625-4a01-b73c-bf0d8ac5525f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b07b7491-83e3-4d8e-8a45-776689d05719.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_79ae2a12-c78e-4462-90d5-10eea2fddb6d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_375464b9-b79d-4bf5-a1a2-94d6d24f8267.jpg 4x",,,"Grab a little juicy freedom with Capri Sun Fruit Punch Flavored Juice Drink Blend. Kids will love the taste of our Capri Sun, made with a new and improved formula. Made with the all-natural sweetener, monk fruit, our Fruit Punch juice drink blend has the lush, sweet flavors of apples, pineapples and oranges that are joyfully refreshing. We never add artificial flavors, colors, preservatives or high-fructose corn syrup to our pouches. Each 6 fluid ounce pouch in our 30 count box comes with a straw, so they're ready for kids to squeeze and sip. Unleash kids' independence with a ready-to-drink Capri Sun.,• One box of Capri Sun Fruit Punch flavored Juice Drink Blend (30 ct 6 fl oz pouches),• Capri Sun Naturally Flavored Fruit Punch Juice Drink is a kids juice that delivers fun refreshment with all natural ingredients,• Our ready-to-drink juice pouches are a convenient way for kids to hydrate,• A blast of fruit flavor from natural ingredients gives our kids drinks an extra refreshing taste,• Packaged in a convenient and iconic pouch for school lunches and on-the-go activities,• Quench your thirst with our delicious ready-to-drink juice blend,• SNAP & EBT eligible food item","Filtered Water, Sugar, Pear, Grape And Orange Juice Concentrates, Citric Acid, Monk Fruit Concentrate, Apple And Pineapple Juice Concentrates, Natural Flavor, Mushroom Extract (to Protect Quality)",Insert straw into pouch.,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur.",
C2O Pure Coconut Water,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d14971e2-a76e-44a4-891f-df3b6f9fdebc.png 4x,Gluten Free,,"C2O® Pure Coconut Water.,33.8 fl oz 1.06 qt (1 liter).",100% Coconut Water.,"Chill before serving.,Once opened, refrigerated & enjoy within 5 days.",Contains: coconut,
Suja Organic Organic Mighty Dozen Juice,$3.99,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b5d2aa5b-91a5-4feb-94bc-b07f1c109480.png 4x,,,"Suja Organic Mighty Dozen is a little sweet, a little green and perfectly balanced. This green juice will have you feeling mighty good and mighty healthy with 1.5 servings of fruit and vegetables per bottle. Full of organic cold pressed juice from fruits and vegetables with no added sugar, this 12 fl oz bottle of green juice is an excellent source of vitamin K and a good source of vitamin C. Mighty Dozen blends 12 earthy greens—including kale, spinach, collard greens, spirulina and chlorella—with green apple, mint tea and a lemon and ginger zing for a nutritious organic juice. Make every sip count with Suja juice to give your body a nutrient boost with breakfast, at school, while traveling or post-workout. Suja Organic juice is vegan, gluten free and non-GMO. Getting your greens feels good. And with Suja, you're getting your greens.","Organic Apple Juice, Organic Celery Juice, Organic Cucumber Juice, Organic Kale Juice, Organic Collard Greens Juice, Organic Lemon Juice, Organic Peppermint Tea (purified Water, Organic Peppermint Leaf, Organic Spearmint Leaf), Organic Ginger Juice, Organic Spinach Juice, Organic Spirulina Powder, Organic Chlorella Powder, Organic Barley Grass Powder.","Shake well, settling is natural.,Perishable. Keep refrigerated.,Enjoy within 5 days of opening.",,
V8 Pomegranate Blueberry 100% Fruit and Vegetable Juice,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_000b4ebc-bae3-4cc8-a5e9-b198fdbcf036.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cce203d5-b14a-4529-b690-b85ef37b0a30.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_390fa138-5e8b-4ddb-9b90-3fdbe3164945.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c1974d5-9983-49b0-a3ba-7c59a5342fe7.jpg 4x",Gluten Free,,"Experience a delicious plant-powered blend of vegetables and fruit with V8® Pomegranate Blueberry 100% Fruit and Vegetable Juice. Combining the flavors of tart pomegranate and sweet blueberry, this blueberry pomegranate juice gives you the nutrition of vegetables blended with just the right amount of fruit for a light, sweet taste. Each bottle of 100% juice is made with the juices of 3 pounds of fruits and vegetables, including apples, carrots, sweet potatoes, pomegranates and blueberries. The result is a vegetable and fruit juice blend with 25% less sugar than leading juice brands* and 2 combined servings of veggies and fruit in every 8 fl oz, plus Zinc and Antioxidants A and C. Formerly known as V8® V-Fusion, V8® 100% Fruit and Vegetable Juice is gluten free and non-GMO with no sugar added** and no artificial sweeteners. Like the classic V8® juice, this fruit and vegetable drink is an easy way to get the plant based boost you need to help fuel your day. Enjoy it as a breakfast drink, afternoon snack, or post workout drink. (*Per 8 fl oz: Leading juice brands, 25.4g; V8® Pomegranate Blueberry, 19g **Not a low calorie food; see nutrition panel for sugar and calorie content)","Vegetable Juice (water And Concentrated Juices Of Sweet Potatoes, Purple Carrots, Carrots), Fruit Juice (water And Concentrated Juices Of Apples, Blueberries, Pomegranates), Natural Flavoring, Malic Acid, Vitamin C (ascorbic Acid), Beta Carotene, Zinc Gluconate",Shake Well Before Opening.,Do not purchase unless cap and neckband are intact.,
V8 Strawberry Banana 100% Fruit and Vegetable Juice,,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ee408074-11e6-4524-9677-b2483e93b1e9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_259eb1e4-c621-4d10-ae13-74000f35fd85.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_038ac743-97cd-47a9-a564-49f5ea921933.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9551a51a-93d9-4958-aaa2-df108f43ba8e.jpg 4x",Gluten Free,,"Experience a delicious plant-powered blend of vegetables and fruit with V8® Strawberry Banana 100% Fruit and Vegetable Juice. Combining the flavors of sweet strawberry and creamy banana, this strawberry banana juice gives you the nutrition of vegetables blended with the right amount of fruit for a light, sweet taste. Each bottle of 100% juice is made with the juices of 3 pounds of fruits and vegetables, including strawberries, bananas, red apples, beets and carrots. The result is a vegetable and fruit juice blend with 25% less sugar than leading juice brands* and 2 combined servings of veggies and fruit in every 8 fl oz, plus Zinc and Antioxidants A and C. Formerly known as V8® V-Fusion, V8® 100% Fruit and Vegetable Juice is gluten free and non-GMO with no sugar added** and no artificial sweeteners. Like the classic V8® juice, this fruit and vegetable drink is an easy way to get the plant based boost you need to help fuel your day. Enjoy it as a breakfast drink, afternoon snack, or post workout drink. (*Per 8 fl oz: Leading juice brands, 25.4g; V8® Strawberry Banana, 18g **Not a low calorie food; see nutrition panel for sugar and calorie content)","Vegetable Juice (water And Concentrated Juices Of Sweet Potatoes, Carrots, Beets), Fruit Juice (water And Concentrated Juices Of Apples, Strawberries), Natural Flavoring, Malic Acid, Banana Puree, Citric Acid, Lycopene (for Color), Vitamin C (ascorbic Acid), Beta Carotene, Zinc Gluconate",Shake Well Before Opening.,Do not purchase unless cap and neckband are intact.,
"Naked Piña Colada Flavored 100% Fruit Smoothie Blend, 15.2 fl oz Bottle",$4.09,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_075a4bf0-d0f4-4bf9-bf42-ba9c806f07c3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18622ddf-0542-4c7d-8852-f1d84ca074bd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8749a628-a4b7-4a37-a865-a32a6f88373e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_250e3225-c879-40c7-a35d-881a8712573d.png 4x",Gluten Free,,"Naked Juice Piña Colada is a tasty fruit smoothie drink that ticks all the boxes. It's an island-inspired blend that features sun-kissed pineapple and creamy coconutmilk.,Made with 100% juice and no added sugar,* the Piña Colada fruit smoothie is a delicious way to help fuel your daily adventures. Packed with fiber and Vitamin C, it’s masterfully crafted from the perfect mix of pineapple, apple, banana, orange, coconut milk and a hint of lemon. Whether it’s for starting your day, recharging after a busy afternoon or for your family on the way to school, it's a great taste that's a perfect choice in every situation. The handy 15.2 oz bottle is also easy to take and enjoy on the go.,Apart from Piña Colada, there’s a whole range of other delicious smoothies that will help you nourish and rebalance. If you’re looking for protein, immune support or juice blends, Naked Juice provides a bottle of goodness that’s got you covered.,Naked remains true to its original purpose - to help people get more out of life. It's doing what it does best: crafting an expertly blended juice beverage into the tastiest drink you can imagine.,*Not a low calorie food. See nutrition information for calorie and sugar content.,• Island-inspired blend of pineapple, creamy coconutmilk and banana,• Masterfully crafted, lip-smacking fruit smoothie with no sugar added*,• Plant-based, vegan, no preservatives and non-GMO Project verified,• Contains potassium and riboflavin, packed with fiber and Vitamin C,• Great tasting nutrition to start your day or refuel between meals","Pineapple Juice+, Apple Juice From Concentrate (water, Apple Juice Concentrate), Banana Puree, Coconutmilk (filtered Water, Coconut Extract), Orange Juice, Chicory Root Fiber, Lemon Juice, Natural Flavor.","Shake well! Separation is natural.,Perishable. Keep refrigerated.",Contains coconut ingredients.,
"AriZona Fruit Juice Cocktail, Mucho Mango",,$1.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8a3fd79-1797-491f-94d8-4b8976f17063.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca503067-a656-4ea8-9096-a99341554d80.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c930481e-69b4-4be4-b319-a13ebb9618b1.png 4x",,,,"Filtered Water, High Fructose Corn Syrup (glucose-fructose Syrup), Mango Puree, Pear Juice From Concentrate, Citric Acid, Ascorbic Acid (vitamin C), Natural Flavors, Beta Carotene For Color, Gum Acacia, Ester Gum","Shake well.,Refrigerate after opening.",,
