Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,"Quench your thirst and keep your little ones hydrated with Pure life Purified Water, No Added Fluoride. With no artificial colors or flavors and zero calories, each drop is trustworthy from collection to testing, ensuring your baby is getting the quality they deserve. This baby water is enhanced with minerals for a crisp taste and can be handy for many uses. Mix it with infant formula, cereal or to dilute juice. And because it contains no added fluoride or unwanted ingredients, you can trust every sip. Contains (1) 1-gallon jug of Pure life Purified Water. Order now on Instacart for same-day delivery or pickup!",Treenut Free
Bai Antioxidant Infusion Beverage Kula Watermelon,,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24d779e6-64d4-4ee1-ad4c-d977ffb581e3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_42b46ff8-34ba-4621-976c-be4ac4b1c296.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_137dedb6-272c-40fc-bd6d-c3444e28ec10.jpg 4x","You just can’t top our original Bai drinks. Each exotic flavor is antioxidant-infused, with 1 gram of sugar, and no artificial sweeteners. They’re pretty much a party in your mouth. At Bai, we’ve reimagined and expanded water’s superpowers beyond basic hydration. Bai® beverages are antioxidant, plant-powered infusions that deliver more than you ever expected from regular H2O. We wondered what water could truly become, and then we made it. Bai, It’s WonderWater™. Bai Antioxidant Infusions are flavored water beverages that deliver delicious fruity refreshment with 10 calories and 1 gram of sugar per bottle. With no artificial flavors or sweeteners, Kula Watermelon Bai is exotic-flavored, infused with tea extract for plant-based caffeine, gluten free, and low glycemic impact. Bai Antioxidant Infusions deliver refreshing, bold fruit flavor for those seeking better alternatives to beverages with high sugar and calories. Everyone at Bai® is committed to bringing this world to life. It’s a future too marvelous to exist only in our imaginations. We want everyone to be able to experience it. Bai’s approach to innovation guides us in our quest. We are eager to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. Because that’s the only way to make this world of better beverages a reality. And with every sip you take, we all are one step closer to our envisioned future.","Filtered Water, Bai Proprietary Sweetener Blend (erythritol, Stevia Leaf Extract), Natural Flavors, Citric Acid, Watermelon Juice Concentrate, Vegetable Juice (for Color), Coffeefruit Extract, White Tea Extract, Malic Acid, Vitamin C (ascorbic Acid), Sodium Citrate.","Shake well, refrigerate after opening.",,"Gluten Free,Soy Free",,,,
"Pure life Purified Water, No Added Fluoride",$3.29,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f355c233-b3b1-41a4-aeeb-9b6f585830f6.jpeg 4x,"• KEEP YOUR LITTLE ONES HYDRATED: Purified Water with no artificial colors or flavors and zero calories,• TRUST EVERY DROP: From collection to testing, our quality process ensures your baby is getting the quality they deserve,• HANDY FOR MANY USES: Mix this baby water with infant formula, cereal or to dilute juice,• REFRESHING TASTE: Enhanced with minerals for a crisp taste,• NO ADDED FLUORIDE: No unwanted ingredients, just drinking water,• Contains (1) 1-Gallon Jug of Pure Life Baby Water With No Added Fluoride. Packaging may vary. Not sterile. Use as directed by physician or by labeling directions for use of infant formula","Purified Water, Less Than 0.5% Of Calcium Chloride, Potassium Bicarbonate, Magnesium Sulfate.","Store In A Cool, Dry Place",Not sterile. Use as directed by physician or by labeling directions for use of infant formula.,,,,,
"Propel Zero Sugar, Electrolyte Water Beverage, Kiwi Strawberry",,$3.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e88efa9e-0b4c-4f41-957f-3c3259f955d2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f6beafea-f5e1-4acc-bb60-c28425773065.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_53d33d57-a0e0-47ec-8fe2-3dd7364264ab.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90dbac62-aea4-4b80-b74e-577158cc136a.png 4x","• Propel Energy Boost contains 100mg Caffeine: Caffeine & Citicoline in combination have been shown to support attention at rest,• Created by the makers of Gatorade, Propel is the only zero calorie, zero sugar electrolyte water beverage among national enhanced water brands with enough electrolytes to replace what is lost in sweat,• Propel electrolyte water beverage contains B Vitamins (B3, B5, and B6), and antioxidants Vitamin C and E.,• No artificial flavors,• Good source of Vitamin E","Water, Citric Acid, Sodium Hexametaphosphate (to Protect Flavor), Natural Flavor, Salt, Potassium Sorbate (preserves Freshness), Potassium Citrate, Sodium Citrate, Ascorbic Acid (vitamin C), Sucralose, Acesulfame Potassium, Calcium Disodium Edta (to Protect Flavor), Calcium Pantothenate (vitamin B5), Niacinamide (vitamin B3), Vitamin E Acetate, Pyridoxine Hydrochloride (vitamin B6)",Refrigerate after opening.,,,,,,
hint Blackberry Essence Water,$1.67,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf3ee5a2-b06e-4efa-9927-400c39441cd7.png 4x,"Water that makes you love water. Learn more about our BPA-free bottles at drinkhint.com.,• Kosher,• Vegan,• Sugar Free/No Sugar,• No Artificial Sweeteners,• No MSG,• Soy Free,• Gluten Free",Purified Water And Natural Flavors.,{},,Gluten Free,,,,
vitaminwater Essential Orange Nutrient Enhanced Water Beverage,,$3.79,,"sometimes life just needs a little flavor. vitaminwater essential, orange-orange is here to remind you of the simple joys. packed with vitamin c and zinc to help support immune function, this flavored-water beverage is more than just a drink. it's the perfect-tasting bottled-water beverage, making your everyday routine a bit more enjoyable.,let's face it, we all need a little support sometimes. your drinks don't have to be boring, and with vitamins c, b5, b6 and b12, and antioxidant vitamin c, this one's got a lot going for it. it's like a vacation in a bottle without the need for sunscreen. grab a vitaminwater essential, orange-orange, bottled-water beverage for great-tasting deliciousness on the go.,so take a break from your everyday grind, sip on some bottled vitaminwater essential, orange-orange, and remember what it's like to enjoy the little things in life. with 100 calories per 20 fl oz bottle and the bold taste of orange-orange, hydration has never been this fun.,• vitamin c and zinc to help support immune function, plus deliciousness packed in,• 250% antioxidant vitamin c,• 100% vitamins b3, b5, b6, b12 and 100 calories per 20 fl oz bottle,• orange-orange flavored, radically delicious and nutrient-enhanced water beverage,• 20 fl oz bottle of vitaminwater essential, orange-orange","Reverse Osmosis Water, Crystalline Fructose, Less Than 0.5% Of: Vitamins A, C, E, B3, B5, B6, B12 (beta-carotene, Ascorbic Acid, Alpha-tocopheryl Acetate, Niacinamide, Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin), Electrolytes (calcium And Magnesium Lactates And Potassium Phosphate), Zinc Gluconate, Cane Sugar, Citric Acid, Gum Acacia, Glycerol Ester Of Rosin, Natural Flavors, Beta-carotene (for Color)",{},,,,,,
Maxwell House 100% Colombian Ground Coffee,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_70cb72f8-7c99-4992-b943-d23b9fbc2e6c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3531e8de-a5cf-4b7b-9d5b-3f218e928b9d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fde7137f-eb85-4e9b-af0f-a0296027f422.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4dbf55a7-2c35-4e70-988a-2d2fa124d5d4.jpg 4x","Take a break with the coffee that practically invented breaks. The day's been a whirlwind and it's far from over. But here's the thing — you're not stressing it. Because you've got it all figured out. You're gonna brew the medium roast made for kicking back and enjoying the aroma. Maxwell House 100% Colombian Ground Coffee. Just sit back and savor every sip from your steaming cup full of strong, full-bodied Maxwell House flavor. Reset with that consistently delicious taste that hits the spot from the very first sip to the very last drop. And when that cup's empty and you're finally fueled up...You can squint your eyes, gather your gear and roll up your sleeves, because now, you're ready to tackle anything and there’s plenty of Maxwell House 100% Colombian Ground Coffee ready to recharge you in your 23.1-ounce canister. Let's show 'em what you're made of. Maxwell House. To Your Max.,• One 23.1 oz canister of Maxwell House 100% Colombian Ground Coffee,• Brew our smooth, delicious coffee, take in the rich aroma and savor the strong, full-bodied flavor,• Deep and robust from the first sip to the last,• A consistently great taste that you can brew to take your day ""to your max"",• Give your brain a break, unplug a little and gear up for what's next with a cup of Maxwell House coffee,• Prepare with fresh, cold water for breakfast or a quick pick-me-up any time of day,• Roasted in the USA since 1892,• Maxwell House inspires the kind of coffee break that helps you pause, reset and take on whatever comes next as a renewed you,• Certified Kosher ground coffee",Coffee.,"Brewing Instructions: 6 fl oz cold water; 1 tablespoon ground coffee. 1 tbsp coffee + 6 fl oz water = 1 serving. Adjust for strength & servings as needed. We recommend using the directions above and fresh, cold water. Full flavor impact even when you add milk, creamer or sweetener of your choice.,For maximum freshness, store in a sealed container in a cool, dark, and dry place.,Best if used by date on bottom.",,,,,,
Polar Seltzer Lime,,$1.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93f13e2f-3618-4a1e-97bc-e8a26a9d721e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f303870-f905-410c-8e00-09c2ecff9ef4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ccf354e-c846-4ef7-ac7a-faeeb61fdd93.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41f15a43-18d4-4151-b0e0-3a10a1ced9cc.png 4x","Lime Polar Seltzer clean, crisp and classic…nothing more, nothing less. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: The sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water: Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.","Contains Carbonated Water, Natural Flavors.",{},"Caution: contents are under pressure. Open slowly, away from face.",,,,,
"Bai Brasilia Blueberry, Antioxidant Infused Beverage",,$3.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08b4ca3d-c4a4-409d-aaef-142865545d9c.jpg 4x,"You just can’t top our original Bai drinks. Each exotic flavor is antioxidant-infused, with 1 gram of sugar, and no artificial sweeteners. They’re pretty much a party in your mouth. At Bai, we’ve reimagined and expanded water’s superpowers beyond basic hydration. Bai® beverages are antioxidant, plant-powered infusions that deliver more than you ever expected from regular H2O. We wondered what water could truly become, and then we made it. Bai, It’s WonderWater™. Bai Antioxidant Infusions are flavored water beverages that deliver delicious fruity refreshment with 10 calories and 1 gram of sugar per bottle. With no artificial flavors or sweeteners, Brasilia Blueberry Bai is exotic-flavored, infused with tea extract for plant-based caffeine, gluten free, and low glycemic impact. Bai Antioxidant Infusions deliver refreshing, bold fruit flavor for those seeking better alternatives to beverages with high sugar and calories. Everyone at Bai® is committed to bringing this world to life. It’s a future too marvelous to exist only in our imaginations. We want everyone to be able to experience it. Bai’s approach to innovation guides us in our quest. We are eager to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. Because that’s the only way to make this world of better beverages a reality. And with every sip you take, we all are one step closer to our envisioned future.","Filtered Water, Bai Proprietary Sweetener Blend (erythritol, Stevia Leaf Extract), Juice Concentrates (blueberry, Blackberry, Strawberry), Natural Flavors, Malic Acid, Fruit And Vegetable Juice (for Color), Coffeefruit Extract, White Tea Extract, Citric Acid, Vitamin C (ascorbic Acid), Sodium Citrate.","Shake well, refrigerate after opening.",,,,,,
Polar Seltzer Original,,$1.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f116b69-ffff-4d44-809a-6ea9bb70928b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c4b59dd-90f0-4da1-a89f-3210db7346f7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1db622a1-931e-4afa-bd42-05fa3f37ea81.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab674bf3-663d-4e8a-8a01-3ba18a76f919.png 4x","Original Polar Seltzer the purely refreshing hydration of water packed with zillions of tiny bubbles to tingle your taste buds. Clean and simple. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: the sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water:, Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.",Carbonated Water.,{},Contains carbonated water.,,,,,
"DASANI Purified Bottled Water, Pack",,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_334a3060-1336-4467-9fd6-e8ed65b02814.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17e2426e-5e3f-46f7-a444-54de8f393c6d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0cd14ab4-7e14-4812-9915-ee7fa1b51cf6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c671b5a2-9af6-4824-9c74-f8097c9ea058.jpg 4x","Savor the refreshing taste of Dasani purified water for all of life's thirst-worthy moments. Dasani water has just the right balance of minerals for a crisp, pure taste, and we've removed the salt. Each sip of our clean, fresh bottled water undergoes a meticulous reverse osmosis filtration process before arriving in your hands.,Reaching for Dasani also creates less waste. Our bottles are crafted from 100% recycled materials, excluding the label and cap, encouraging you to refresh, enjoy, and then recycle, continuing the journey of renewal.,Dasani is your perfect choice no matter the day ahead. Whether you're powering through work, enjoying a picnic, hitting the gym, running errands, or setting out on a road trip, Dasani is ready to quench your thirst. Every bottle of water is a burst of refreshment that's just a twist away—perfect for the home, office, or on the move.,Indulge in the pure, refreshing taste of Dasani drinking water. It's the ideal choice for all of life's thirst-worthy moments, ready to enjoy anytime, anywhere.,• Enhanced with minerals for a crisp, clean and fresh taste.,• Bottle made from 100% recycled material, excluding label and cap.,• Refreshing hydration on the go for all of life’s thirst-worthy moments.,• Purified water using reverse osmosis filtration process,• 8 pack, 12 fl oz bottles of Dasani Purified Water","Purified Water, Magnesium Sulfate*, Potassium Chloride*, Salt*, *minerals Added For Taste",{},,,,,,
"bubly Sparkling Water, Mango",,$7.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b9d962a6-2abd-4fe9-9d83-9a43737865e3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_437c694d-06a6-4088-9474-d8d15bf0232f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cd194ae7-3660-4ef1-880a-258766ef4c7d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c379e35c-c9c6-4c68-b5c2-def694cf6ad5.png 4x","All smiles. Let's get sipsy.,• No Artificial Sweeteners,• Calorie Free/No Calories","Carbonated Water, Natural Flavor.",Best taste drink by date.,,,,,,
"bubly Sparkling Water, Raspberry - Pack",,$8.69,,"All smiles. I'm a great listeners. Please recycle.,• Calorie Free/No Calories,• No Artificial Sweeteners","Carbonated Water, Natural Flavor.",Please Recycle,,,,,,
hint Watermelon Water,$1.67,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a83563f4-0eba-43f4-be59-dc25753bb303.png 4x,"Water that makes you love water.,• Kosher,• Vegan,• Sugar Free/No Sugar,• No MSG,• Nut Free,• Soy Free,• Gluten Free",Purified Water And Natural Flavors.,{},,Gluten Free,,,,
Polar Seltzer Raspberry Lime,,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b490f847-65d7-4032-82c8-b0a6f216a00d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18ecfde5-360c-4f73-98b0-54abdb7e9acd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33160fa6-0c4c-45d0-ace1-a7eb530f09f7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d23cb749-b3bc-47a0-b04c-76beaa7788f6.png 4x","Raspberry Lime Polar Seltzer, opposites attract to create an amazing seltzer flavor-ite. Sweet and tart are always right. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: The sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water: Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.","Carbonated Water, Natural Flavors.",{},"Contains carbonated water, natural flavors.",,,,,
Polar Seltzer Raspberry Lime,,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ebf5080-4d57-4a7d-b8f6-c3af03b7609d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_72f9d963-cde4-4ce2-943e-2cb7672add74.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b16f9946-f055-429b-9b28-73a38ea36555.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_22b5c8fc-7deb-4ecd-838e-88e7464a78eb.png 4x","Raspberry Lime Polar Seltzer, opposites attract to create an amazing seltzer flavor-ite. Sweet and tart are always right. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: The sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water: Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.","Contains Carbonated Water, Natural Flavors.",{},"Caution: contents are under pressure. Open slowly, away from face.",,,,,
Bai Zambia Bing Cherry Antioxidant Infusion,,$3.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e89589b-ceb7-4065-94e9-8f34d4dc3ea9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e05b7a7-ae78-449c-9cfa-60487aa14e2f.jpg 4x","You just can’t top our original Bai drinks. Each exotic flavor is antioxidant-infused, with 1 gram of sugar, and no artificial sweeteners. They’re pretty much a party in your mouth. At Bai, we’ve reimagined and expanded water’s superpowers beyond basic hydration. Bai® beverages are antioxidant, plant-powered infusions that deliver more than you ever expected from regular H2O. We wondered what water could truly become, and then we made it. Bai, It’s WonderWater™. Bai Antioxidant Infusions are flavored water beverages that deliver delicious fruity refreshment with 10 calories and 1 gram of sugar per bottle. With no artificial flavors or sweeteners, Zambia Bing Cherry Bai is exotic-flavored, infused with tea extract for plant-based caffeine, gluten free, and low glycemic impact. Bai Antioxidant Infusions deliver refreshing, bold fruit flavor for those seeking better alternatives to beverages with high sugar and calories. Everyone at Bai® is committed to bringing this world to life. It’s a future too marvelous to exist only in our imaginations. We want everyone to be able to experience it. Bai’s approach to innovation guides us in our quest. We are eager to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. Because that’s the only way to make this world of better beverages a reality. And with every sip you take, we all are one step closer to our envisioned future.","Filtered Water, Erythritol, Citric Acid, Cherry Juice Concentrate, Malic Acid, Blackberry Juice Concentrate, Potassium Citrate, Vegetable And Fruit Juice Concentrates (for Color), Tea Extract, Ascorbic Acid (vitamin C), Stevia Leaf Extract, Natural Flavors, Coffeefruit Extract","Shake well.,Refrigerate after opening.",,,,,,
Topo Chico Mineral Water 12 Pack Case,$13.99,$15.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7cdf337-3633-4ffa-81da-6a410d43b3c3.png 4x,"This legend speaks of the virtues of the water that since 1895 has given its name to one of the most important drinks in all of Mexico: Topo Chico Mineral Water.,There was a beautiful Aztec princess who suffered a terrible disease. A disease so strange that no doctors of her father, Moctezuma I Ilhuicamina, successor in 1440 of the King Itzcoatl, had been able to cure.,Desperate, the King turned to the older priests in the kingdom to find a cure for his beautiful daughter. They told him that according to the timeless stories of travelers, in a far away northern land, there were strange and hidden waters which flowed at high temperatures. Waters in which one only needed to bathe in or drink from to regain vigor, joy, strength, and refreshment.,Encouraged by this news, Moctezuma I ordered an immediate expedition to take his daughter to this amazing place. After traveling long and rugged roads, the Princess and her expedition reached a fertile valley flanked by mountains. To the east, they saw a mountain with the form of woman’s face (now Cerro de la Silla) and a mole-shaped hill, from whose slopes flowed the prodigal waters.,After spending some time there, taking baths and drinking from the water, the daughter of Moctezuma I, his priests, and chiefs returned to the Anahuac lands optimistic, strong, happy, and refreshed. The news about the Princess's recovery spread throughout the kingdom and has passed from generation to generation up until modern times.,Anyone who has tasted a cold Topo Chico sparkling mineral water on a warm day can believe the story of such spectacular refreshment.,• Topo Chico Sparkling Mineral Water has been bottled at the source in Monterrey, Mexico, since 1985,• Refreshing and versatile, it satisfies your thirst or serves as the perfect mixer,• Topo Chico’s natural mineral composition is great for quenching thirst,• Topo Chico is a zero calorie carbonated beverage,• 12 pack, 12 fl oz glass bottles of Topo Chico Sparkling Mineral Water","Mineral Water, Carbon Dioxide",{},"Handle with care, product has high carbonation.",,,,,
Lemon Perfect Organic Original Lemon Hydrating Lemon Water,$1.67,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5be2c67-a900-45c9-9935-b55d8224b936.png 4x,,"Purified Water (by Reverse Osmosis), Organic Lemon Juice†, Organic Natural Flavors, Organic Stevia Leaf Extract, Vitamin C (ascorbic Acid), †adds A Dietarily Insignificant Amount Of Sugar","Shake well.,Enjoy cold.,Refrigerate after opening.",,Gluten Free,,,,
"Bai Kula Watermelon, Antioxidant Infused Beverage",$1.79,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65336e5c-e3c2-465c-8925-92b2284b5eb2.jpeg 4x,"Bai Kula Watermelon is a tasty sensation that captivates and hydrates. So feel free to spill the goss and gush about its sweet, watermelon flavor. Just don’t actually spill any of it. It’ll ruin your rep. At Bai, our water beverages deliver beyond basic hydration. Every exotic flavor is infused with antioxidants and other benefits. Not only is Bai Kula Watermelon deliciously bold and refreshing, but it has electrolytes, 1 gram of sugar, and contains no artificial sweeteners. We’ve added zinc which—in combination with Vitamin C—helps support a healthy immune system. Every hydrating sip hits a flavorful high note thanks to being sweetened with Stevia. And we’ve bottled it up in packaging made from 100% recycled plastic, excluding cap and label. Bai’s approach to innovation guides us in our quest to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. It’s a future too marvelous to exist only in our imaginations. We want everyone to experience it. Bai Kula Watermelon. It’s WonderWater.","Filtered Water, Clarified Watermelon Juice Concentrate, Citric Acid, Potassium Citrate, Sea Salt, Ascorbic Acid (vitamin C), Tea Extract, Stevia Leaf Extract, Malic Acid, Vegetable Juice Concentrate (for Color), Natural Flavors, Coffee Fruit Extract, Monk Fruit Extract (natural Flavor), Zinc Sulfate","Shake well, refrigerate after opening.",,,,,,
