Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"You'll love the delicious OLIPOP Cherry Cola Sparkling Tonic! Made with natural ingredients, this refreshing beverage is packed with prebiotics and plant fiber to support your digestive health. With only 2 grams of sugar per can, you can sip guilt-free while you savor the sweet yet tangy blend of cherry and cola. As an added bonus, each can contains 35 milligrams of caffeine to give you a little boost when you need it. So why not give it a try? You can enjoy the fabulous taste of OLIPOP Cherry Cola Sparkling Tonic today with Instacart's same-day delivery or pickup.",Soy Free,"Quench your thirst and support your gut health with wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink. This bubbly beverage is made with fresh-brewed rose petals, guava puree, lemon juice, and live probiotics to promote healthy digestion. With only 35 calories per 355mL serving, this drink is fat-free, gluten-free, and organic. Plus, it's vegan and vegetarian-friendly! Sip on a refreshing blend of floral and fruity flavors while enjoying the benefits of prebiotic and probiotic ingredients. Order wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink today through Instacart for same-day delivery or pickup at your convenience.","Looking for a unique and refreshing juice to add to your beverage repertoire? Try Tahiti Trader Company Organic Island Style Noni Juice, a delicious and nutritious addition to any juice collection. Made with organic noni fruit, this juice is packed with vitamins, minerals, and antioxidants that promote overall health. With Instacart's same-day delivery or pickup option, it's easy to enjoy a taste of the tropics from the comfort of your own home. Sip on this island-style concoction and transport yourself to the exotic oasis of Tahiti without ever leaving your living room. Refreshing, organic, and wholesome—Tahiti Trader Company Organic Island Style Noni Juice is the perfect choice for your next beverage craving.","Craving a daily beverage that's both refreshing and nutritious? Look no further than EPOCA Probiotic Cultured Daily Beverage. Made with filtered water and cultured grade A pasteurized nonfat milk, this low-fat drink contains viable Lactobacillus, Bulgaricus, Streptococcus Thermophilus, Lactobacillus Acidophilus, Lactobacillus Casei, and Bifidus yogurt cultures. With just 35 calories per serving and no fat or cholesterol, it's a guilt-free indulgence that packs a punch of flavor thanks to natural and artificial flavors. Best of all, you can enjoy the benefits of probiotics in every sip. Order EPOCA Probiotic Cultured Daily Beverage today on Instacart for same-day delivery or pickup.",Milk Free
De La Calle Tepache Grapefruit Lime,,$4.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08901f0c-62e1-45d0-be57-a9a05ec3b139.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6fd81c80-d55a-4965-a676-171b236fcd26.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_225101a8-0cd4-4e51-94b0-037e618b24d8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac7b581c-50c0-4b1a-9ae4-ca03cd77986d.jpg 4x","Gluten Free,Soy Free",,"A medley of ruby red grapefruit and juicy pomelos with a twist of bright lime. Refreshing, balanced and good anytime of day.","Carbonated Water, Tepache*, Grapefruit Juice Concentrate*, Erythritol*, Agave Inulin*, Grapefruit Flavor*, Acacia and Xanthan Gum, Lime Extract*, Lime Juice Concentrate*, Oak Extract, Sea Salt, Organic Flavor*, Ascorbic Acid (Vitamin C).,*Organic Ingredients",Store refrigerated.,,,,,,,
"OLIPOP Prebiotic Soda, Classic Root Beer",,$10.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da17b57d-5020-48e0-ad12-aa6198625280.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40abef04-0956-4e03-968f-c071d256fed6.png 4x",Gluten Free,,"Our botanically driven Root Beer marries a classic bite with a creamy sweetness with extracts of sweet birch, smooth-vanilla bean and naturally sourced burdock root. We recommend pairing it with your favorite ice-cream.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Natural Root Beer Flavor, Lemon Juice, Burdock Root*, Stevia Leaf*, Himalayan Pink Salt, Natural Vanilla Flavor, Sweet Birch*",Keep refrigerated.,,,,,,,
wildwonder Peach Ginger Prebiotic + Probiotic Drink,$3.00,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a42b28c-0b54-47b8-ad7f-0fc6e4f9b3d1.png 4x,,,,"Fresh Brewed Ginger* (Filtered Water, Ginger Root*), Peach Puree*, Agave Nectar*, Lemon Juice*, Jerusalem Artichoke*, Ginger Juice*, Peach Flavor*, Chicory Root Inulin, Monk Fruit Extract*, Live Probiotics (Bacillus subtilis) (*organic)",{},,,,,,,
Inner Eco Original Dairy Free Probiotic Kefir,,$25.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc6a2743-ac2f-4fc5-96f6-3f207f9c89de.png 4x,Gluten Free,,"Dairy free. Soy free. Gluten free. Non GMO Project verified. nongmoproject.org. Non GMO. 30 shots per bottle. 100 Billion CFUs (Averages up to, at time of manufacturing per 1 tbsp). Sparkling. It's alive! This product is under pressure. Swirl gently, open slowly. Contains living particles which are beneficial cultures. The effervescence, flavor, and culture count may vary from batch-to-batch. Enjoy Our Diverse Culture Community: Lactococcus lactic subsp., Leuconostoc subsp., Streptococcus thermophilus, Lactobacillus subsp., Kefir yeast, Kefir grains microflora. Experience a true living food. This living pre- and probiotic food is hand-crafted in Colorado and fermented in small batches. We use only freshly cracked coconut water (never frozen or from concentrate) and blend it with beneficial active cultures! We're a serious probiotic to support your body's inner-ecology. Feel good, do good, follow your gut! By purchasing inner-eco products it helps us fulfill our mission to free, feed, and educate those in need around the world. inner-eco.com. Learn more (at)inner-eco.com.","Fresh Young Coconut Water, Kefir Cultures.","Do not shake.,Serving Suggestions: 1 tbsp. Adjust frequency and serving size to individual needs. Enjoy any time, with or without other food.,Keep refrigerated.,Consume within 30 days of opening.",Contains: coconut.,,,,,,
Halfday Iced Tea Green Tea With Honey & Ginseng,,$2.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1503adcd-a8bd-47fc-a3e2-c794fc41c7e7.png 4x,,,"Welcome to a new era of iced tea. Gut-friendly nostalgic iced teas that make moments of freedom even sweeter.,Halfday Prebiotic Green Tea with Honey & Ginseng,A smooth, golden sip with real honey and ginseng in every drop.,3g Sugar,6g Fiber,30 Calories","Brewed Organic Green Tea (Filtered Water, Organic Green Tea), GOODDAY Prebiotic Blend (Cassava Root Fiber, Fructan Fiber, Organic Agave Inulin), Honey, Lemon Juice Powder, Citric Acid, Organic Honey Flavor, Organic Ginseng Extract, Stevia Leaf Extract, French Grey Sea Salt, Malic Acid, Ascorbic Acid (Vitamin C), Tartaric Acid (From Grapes)",Shake gently & drink chilled.,,,,,,,
wildwonder Pineapple Paradise Prebiotic + Probiotic Drink,$3.00,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb8e6d02-6fae-438e-a2eb-86615745f4f0.png 4x,,,,"Filtered Water, Pineapple Juice*, Lime Juice*, Agave Nectar*, Jerusalem Artichoke Inulin*, Tangerine Juice Concentrate*, Chicory Root Inulin, Pineapple Flavor*, Cinnamon Extract*, Sichuan Peppercorn Extract, Monk Fruit Extract*, Live Probiotics (Bacillus subtilis) (*organic)",Store refrigerated.,,,,,,,
"Doctor D's Tart Cherry, Sparling Probiotic Drink",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5fd48f14-59fa-4974-834d-2dd6bd54432f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_671942ab-64b5-45b7-b9b3-28c139bcdb89.jpg 4x",,,"- Delicious Real Fruit Flavor: Enjoy the refreshing taste of natural, organic fruit juice in every sip, without the funky vinegar flavor.,- Living Probiotics: Each can contain up to 22+ unique strains of lactobacillus to support your digestive health.,- Always Fresh: Our product is meticulously shipped, stored, and consumed cold, ensuring you get the optimal benefits and flavor in every sip.,- Organic, Clean Ingredients: These are made without artificial flavors or preservatives and are 100% organic, vegan, and gluten-free.","DD's Live Cultures, (Purified Water, Organic Fair Trade Cane Sugar, Water Kefir Cultures, Pink Himalayan Salt, Trace Minerals), Organic Tart Cherry & Organic Lemon Juice from Concentrate.",Must be refrigerated.,Contents under pressure. May gush or burst if unrefrigerated. Do not shake ~ Open with care.,,,,,,
"KeVita Sparkling Drink, Mango Coconut, Probiotic Refresher",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f7addcc-a647-41f2-a9b1-faac5b1bc8f9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3c4dbe8-3b2a-416e-82a4-005587fa2c8c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_824202d5-7f33-4893-82ca-2edb660fc060.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1bf362f4-eb5b-415e-8047-ac645414f58a.png 4x",,,Live probiotics. Refreshingly Delicious: KeVita is crafted with our proprietary cultures & the finest organic ingredients. Revitalizing in every sip! Gently pasteurized. Lightly carbonated. Swirl gently. Live probiotics added. Fermented. Water kefir culture. Delicious & refreshing with a light fruit taste.,"Sparkling Water, Water Kefir Culture (water, Lactic Acid, Kefir Culture, Natural Flavor)*, Coconut Water Concentrate*, Mango Puree*, Apple Cider Vinegar*, Lactic Acid, Mango Flavor*, Fruit And Vegetable Juice For Color*, Bacillus Coagulans Gbi-30 6086, Coconut Flavor*, Purified Stevia Leaf Extract*.",Perishable. Keep refrigerated.,Contains coconut ingredients,,,,,,
wildwonder Raspberry Lychee Prebiotic + Probiotic Drink,$3.00,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33cd759c-6bcf-4f64-b976-93413aa3df1b.png 4x,,,,"Fresh Brewed Honeysuckle* (filtered Water, Honeysuckle Flowers*), Raspberry Puree*, Agave Nectar*. Lychee Juice*, Jerusalem Artichoke*, Lemon Juice*, Raspberry Flavor*, Chicory Root Inulin, Lychee Flavor*, Monk Fruit Extract*, Live Probiotics (bacillus Subtilis) (*organic)",Store refrigerated.,,,,,,,
"OLIPOP Barbie Prebiotic Soda, Peaches & Cream",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7640426-c884-47b3-bdb1-8820aacfde77.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fcab8b85-5f87-4426-bef4-1972cd0d9409.png 4x",,,"Made with real peach juice and aromatic vanilla, dreamy Peaches & Cream is sweet, but not too sweet, and every bit as iconic as BarbieTM.","Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Peach Juice, Apricot Juice, Cassava Root Syrup, Apple Juice Concentrate, Lemon Juice, Natural Vanilla Flavor, Stevia*, Himalayan Pink Salt, Natural Peach Flavor, Natural Bourbon Vanilla Flavor",Store refrigerated.,,,,,,,
Inner Eco Tropical Dairy Free Probiotic Kefir,,$25.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a4a1508-2956-4c8c-9081-adddfaccbc6a.png 4x,Gluten Free,,,"Ingredients: Fresh Young Coconut Water, Kefir Cultures, Natural Flavors, Sweetleaf Stevia.","Keep refrigerated. Please do not shake! Open slowly with care and mix gently once opened. Keep refrigerated at all times, even before opening, to prevent pressure buildup. Serving Suggestion: Typical adult serving size is 1 tbsp daily. For children, consult with your healthcare provider for appropriate serving size. Everyone's system is different so start slowly and adjust serving size and frequency according to individual needs. (Best consumed within one month of opening.) Enjoy alone or add to juices and smoothies.",Contains: coconut.,,,,,,
Bio-K Plus Strawberry Dairy,$6.00,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01571ea2-b321-46e3-a3c4-1e341d89618d.png 4x,,,"100% probiotic. Strawberry (Natural strawberry flavor). Certified gluten-free. This CL1285 fermented dairy formula provides a minimum of 50 billion active and efficacious L. acidophilus, L. casei and L. rhamnosus cultures per bottle. Daily Portion: 1/4 to 1 bottle. Manufactured in Canada.","Water, Skim Milk Powder, Cane Sugar*, Whey Protein Concentrate, Lactobacillus Casei Lbc80r®, Lactobacillus Rhamnosus Clr2®, Lactobacillus Acidophilus Cl1285®, Concentrated Strawberry Juice, Natural Flavors, Dried Citrus Pulp, Fruit And Vegetable Extract (color)*, *organic",Shake vigorously. Shake well. Keep refrigerated.,Contains: milk.,,,,,,
Bio-K Plus Blueberry Rice,$6.00,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33e879da-2b00-416a-8fb9-bb5682559b10.png 4x,Gluten Free,,"100% probiotic. USDA organic (Certified organic by Pro-Cert Organic Systems). Certified gluten-free. This CL1285 Fermented Rice Formula provides a minimum of 50 billion active and eficacious L. Acidophilus, L. Casei and L. Rhamnosus cultures per bottle. Manufactured in Canada.","Water, Brown Rice Powder*, Cane Sugar*, Brown Rice Protein Concentrate*, Inactivated Nutritional Yeast, Carob Bean Gum*, Calcium Citrate, Pectin, Lactobacillus Casei Lbc80r®, Lactobacillus Rhamnosus Clr2®, Lactobacillus Acidphilus Cl1285®, Steviol Glyosides*, Natural Flavors, *organic",Shake well. Keep refrigerated. Daily Portion: 1/4 to 1 bottle.,"Contains no dairy, no soy.",,,,,,
So Good So You Organic Blueberry Clementine Immunity Probiotic Shot,$4.00,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2af99ae4-c705-47b0-95b1-cb7fb26d9bc4.png 4x,,,"Keeping your immune system tight means not letting your guard down. So we mixed the potency of three kinds of adaptogenic mushrooms with crave-able clementine and blueberry juices. Juiced it up with one billion CFUs of probiotics. And presto: an immunity shot that’s a triple-threat of good-for-you vitamins, adaptogens and probiotics. Your immune system will shoot you a thank-you note for the love and support.","organic blueberry juice, organic clementine juice, organic apple juice, organic maitake mushroom powder, organic reishi mushroom powder, organic oyster mushroom powder Bacillus coagulans GBI-30 6086 (probiotic), organic mushroom extract, organic vegan vitamin D3",Always refrigerate and enjoy within 24 hours of opening.,,,,,,,
"OLIPOP Prebiotic Soda, Ginger Ale, Shelf Stable",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bdd081fc-b93d-497a-bbb7-ff1bc67f3e55.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43e1da16-a21d-418b-82cb-db1615132ef2.png 4x",,,"Sweet lime, tart quince, and real ginger root help create a uniquely refreshing yet nostalgic Ginger Ale flavor that will make you feel oh so sophisticated.","Carbonated Water, OLISMART (Cassava Root Fiber, Acacia Fiber, Guar Fiber, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Quince Juice Concentrate, Apple Juice Concentrate, Cassava Root Syrup, Ginger Juice, Lime Juice Concentrate, Natural Flavors, Stevia Leaf*, Himalayan Pink Salt *Extract","Store in a cool, dry place.",,,,,,,
Bio-K Plus Strawberry Dairy,,$59.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_414eca28-998c-4341-8db5-6aca5548625a.png 4x,Gluten Free,,"Dairy culture. 50 billion friendly bacteria guaranteed. GF. Certified gluten free. Patented probiotic. 50 billion live active friendly bacteria guaranteed. The only clinically proven formula of L. acidophilus and L. casei. Clinically proven probiotic. This CL1285 dairy culture formula provides a minimum of 50 billion live active L. acidophilus + L. casei bacteria until best before date per 3.5 oz. Contains no gluten, wheat, corn, yeast, antibiotic residues, GMO's. RBGH free. Made with 100% recyclable cardboard. Manufactured in Canada.","Water, Skim Milk Powder, Evaporated Cane Syrup*, Whey Protein Concentrate, Active Cultures Of L. Acidophilus Cl1285, L. Casei Lbc80r And L. Rhamnosus Clr2, Natural Strawberry Flavor, Concentrated Strawberry Juice, Dried Citrus Pulp, Fruit And Vegetable Extract (color)*.",Portion: Children 1/4 to 1/2 bottle per day. Adults: 1/4 to 1 bottle per day. Keep refrigerated. Shake vigorously.,Contains milk based ingredients.,,,,,,
"KeVita Sparkling Drink, Tangerine, Probiotic Refresher",,$4.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13f94f74-6219-4458-9b8b-64d1dbf60d6d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8945cb51-4ffe-4efb-ade0-5464bd4a6f9f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_349443ae-7721-4001-94cb-cb52db61e18e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cce9bea5-f318-4610-8178-42d01ec6142f.png 4x",Gluten Free,,Live probiotics. Refreshingly delicious. KeVita is crafted with our proprietary cultures & the finest organic ingredients. Revitalizing in every sip! Gently pasteurized. Lightly carbonated. Swirl gently. Live probiotics added. Fermented. Water kefir culture. Delicious & refreshing with a light fruit taste.,"Sparkling Water, Water Kefir Culture (water, Lactic Acid, Kefir Culture, Natural Flavor)*, Apple Cider Vinegar*, Apple Juice Concentrate*, Fruit And Vegetable Juice For Color*, Green Mandarin Extract*, Ascorbic Acid (vitamin C), Bacillus Coagulans Gbi-30 6086, Orange Extract*, Vanilla Extract*, Lactic Acid, Purified Stevia Leaf Extract*.",Perishable. Keep refrigerated.,,,,,,,
"Slice Grape Healthy Soda, 12 fl oz Can",,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f1631ff-b3ac-40bd-bb69-3c8faeb3736d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e20b87b-70e3-44df-b66f-e5f43a0b4a3e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3cb08ce2-a2ba-4cc0-a80f-782c63c9eb8d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_57158485-0ef6-4552-84f3-6a390f1f4aa5.jpg 4x",,,"Slice is the spunky, full-flavored grape soda you loved as a kid, but now with grown-up benefits. Made with the Slice Gutsy Blend, this healthy soda contains probiotics, postbiotics and 5 grams of prebiotic fiber to support your digestive health. Established in 1984 and healthy since 2025, this prebiotic soda has the highest carbonation and is full of bubbles with only 5 grams of sugar per 12 oz can. Slice Grape Soda is perfectly sweet, ultra-bubbly and delivers a craveable splash of refreshing grape for an undeniably classic soda taste and experience. Naturally sweetened with real fruit juice, organic stevia and organic cane sugar, this carbonated fruit soda contains no high fructose corn syrup, artificial sweeteners or artificial flavors. Plus, it’s Non-GMO Project Verified and gluten free. Store this canned soda in the fridge to preserve the gut health benefits, so it’s ready to pop open and enjoy any time. All Slice soft drinks contain pre and probiotics for digestive health. Now you can have your soda and drink it, too.","Carbonated Water, Grape Juice (from Concentrate), Slice Gutsy Blend™ (soluble Vegetable Prebiotic Fiber Bacillus Subtilus De111, Bifidobacterium Longum Es1), Organic Cane Sugar, Natural Flavors, Citric Acid, Kosher Salt, Stevia Leaf Extract, Vegetable & Fruit Juice (for Color).",Perishable. Keep refrigerated.,,,,,,,
"Doctor D's Probiotic Drink, Organic, Root Beer, Sparkling",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7801870b-5857-4788-bdd3-0ed49205e809.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_636ab547-ae8b-4ec3-bd33-774bba2e35f0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ab0bb6a-1ae4-47ce-9c65-98a8eb6ba0c8.png 4x",,,,"Dd's Live Cultures* (purified Sparkling Water, Fair Trade Cane Sugar*, Water Kefir Cultures, Pink Himalayan Salt), Apple Juice, Fair Trade Cane Sugar*, Organic Caramel Color, Root Beer Flavor*, Other Organic Flavors*, Sunflower Lecithin*, *organic","Do not shake.,Keep refrigerated. Must be refrigerated.,Open with care.",Caution: Contents under pressure may gush or burst if unrefrigerated.,,,,,,
KeVita Kevite Sparkling Tangerine,$2.59,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b081523b-82e0-4692-af68-bd4d224e6d8f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e6166d4-d2a9-4326-99a3-802c7bcd8685.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8503fdf3-c6ca-4521-9781-85eba5cd0b36.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07f43c34-99c7-4987-95b4-b8b947e24f60.png 4x",,,,"Sparkling Water, Water Kefir Culture (water, Lactic Acid, Kefir Culture, Natural Flavor*)*, Apple Cider Vinegar*, Apple Juice Concentrate*, Fruit And Vegetable Juice For Color*, Tangerine Extract*, Ascorbic Acid (vitamin C), Orange Extract*, Vanilla Extract*, Lactic Acid, Purified Stevia Leaf Extract*, De111 (bacillus Subtilis)*. *certified Organic Ingredient",,,,,,,,
Tahiti Trader Company Organic Island Style Noni Juice,,$41.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cd4b5af1-9dd7-4a04-b8a5-8723be080cc4.png 4x,,,,"Vitamin C, Vitamin E, Niacin, Folic Acid, Calcium, Iron, Magnesium, Zinc, 100%: Pure Certified Organic Noni Juice (Morinda citrifolia), Polysaccharides, Orac.",,,,,,,,
Bio-K Plus Mango Soy,$6.00,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0814c1a6-c39b-46db-9bb0-34e9bc5ff88c.png 4x,Gluten Free,,"100% probiotic. Mango (Natural mango flavor). Certified gluten-free. This CL1285 fermented soy formula provides a minimum of 50 billion active and efficacious L. acidophilus, L. casei and L. rhamnosus cultures per bottle. Daily Portion: 1/4 to 1 bottle.","Water, Cane Sugar*, Soy Protein Isolate, Inactivated Nutritional Yeast, Pectin, Calcium Citrate, Natural Flavors.",Shake vigorously. Shake well. Keep refrigerated.,Contains:soy.,,,,,,
Goldthread Tonics Turmeric Radiance Tonic,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2be5ab7a-abd2-408e-8f13-1565cabe471b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3def225e-c522-414e-a13f-c44803be40b2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c50484bc-164a-414f-a5a7-da1632395a63.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_033fe8c5-6955-4b36-9a03-ac75da21f813.jpg 4x",,,"Turmeric Radiance is a one-of-a-kind, delicious turmeric drink that helps you glow radiantly from the inside, out. Turmeric, lemon, cinnamon, and Madagascar vanilla come together for a delightfully juicy sweetness accompanied by a gentle kick of spice. Turmeric Radiance supports gut health by supporting optimal digestion, easing inflammation, and improving metabolism. Goldthread Tonics utilizes responsibly-sourced ingredients, with turmeric from a generational farm in India.","filtered water, lime*, Turmeric Radiance proprietary herb blend (ginger*, orange peel*, lemongrass*, lemon verbena*, cinnamon*, cardamom extract*, coriander*, turmeric chips*, turmeric powder*, Madagascar bourbon vanilla bean extract*, mace*, cloves, goldthread*), erythritol, monk fruit extract (*organic ingredients)","Best served chilled or on ice. Shake well before enjoying.,Refrigerate after opening.","*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.",,,,,,
"GoodBelly Juice Drink, Blueberry Acai Flavor",,$5.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02ec444c-23a8-4c36-af5b-4080ad252016.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f572ba26-2dcd-4836-9768-c26785b76e3b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_57e4b21c-27bc-43bc-8a4c-279562e75354.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe841e46-0d56-4d28-a45e-67a9000d1aa8.png 4x",Soy Free,,,"Ingredients: Filtered Water, Organic Pear Juice From Concentrate, Organic Evaporated Cane Sugar, Organic Oat Flour, Organic Blueberry Juice From Concentrate, Contains 2% Or Less Of Organic Acai Puree, Organic Flavor, Natural Flavor, Citric Acid, Organic Barley Malt, Organic Carrot Juice (for Color), Lactobacillus Plantarum 299v, Calcium Citrate (calcium), Ascorbic Acid (vit. C), D-calcium Pantothenate (pantothenic Acid), Tocopheryl Acetate (vitamin E), Pyridoxine Hcl (vit. B6), Riboflavin (vit. B2), Thiamin Mononitrate (thiamin), D-biotin, Vitamin A Palmitate (vit. A), Cyanocobalamin (vit. B12).",Keep refrigerated.,Contains: gluten from organic oat flour and barley malt.,,,,,,
Inner Eco Original Coconut Water Kefir,$3.50,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_620bd361-4c0a-419c-b236-1d8a18d50f59.png 4x,Gluten Free,,"Non GMO Project verified. nongmoproject.org. Power shot. 2 servings. It's alive! 100 billion active live cultures. Averages up to, at time of manufacturing per 1 tbsp. Inner-eco is a food product and not a cure or treatment for any medical disorder or disease. inner-eco.com. For Nutrition Information, Please Call: 1-844-341-1776.","Fresh Young Coconut Water, Kefir Cultures.","To Use: Take 1/2 or whole bottle with or without food. Consume within 2 days of opening.,Keep refrigerated & do not shake.",Contains: coconut.,,,,,,
Cove Soda Root Beer,$2.89,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ed40ffc-3295-487a-b847-cb3258e3944f.png 4x,Gluten Free,,,"Filtered Water, Erythritol*, Caramel Color*, Citric Acid*, Natural Flavor*, Vanilla Extract*, Himalayan Salt, Stevia Extract*, Ascorbic Acid (Vitamin C), Guar Gum*, Bacillus Subtilus DE 111* (Probiotic). *Organic.",Best before date on bottom of can.,,,,,,,
"CORAL COVE Soda, Ice Pop",$2.89,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_39173522-13c9-4e6c-8abc-90b7051ae518.jpeg 4x,Gluten Free,,,"Filtered Water, Erythritol*, Lemon Juice Concentrate*, Citric Acid*, Natural Flavor, Himalayan Salt, Guar Gum*, Stevia Extract*, Ascorbic Acid (Vitamin C), Bacillus Subtilus DE 111 (Probiotic). *Organic.",Best before date on bottom of can.,,,,,,,
