Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free
Samuel Adams Boston Lager Beer,,$20.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8187eb7-23ae-4fb4-8f75-211bbee0b788.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3fa36fad-f032-4bab-84fe-facc82b04012.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4665eba-aa46-4bbd-8b2c-ea0acbd287a3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6d30d2d-30e5-42fe-9d29-db40138afb39.jpg 4x","Four ingredients, painstakingly chosen. Hand-selected Bavarian hops for a distinctly complex yet balanced lager rich in flavor and full of character. Samuel Adams Boston Lager is a smooth, german-style lager made with the best ingredients on the planet. 5% ABV. 12 pack, 12 fluid ounce bottles.",Beer.,Store in a cool place and rotate stock to ensure freshness.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"O'Doul's Premium Golden Non-Alcoholic Beer, 6 Pack 12 FL OZ Bottles",,$8.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d94802f-269e-4eec-a5b2-ae3c43103ac1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08f57498-1ce5-4b77-880e-146956059dfa.jpg 4x","O'Doul's is an all natural, full bodied, premium non-alcoholic malt beverage. It contains only the finest natural ingredients - including barley malt, domestic & imported whole cone hops, brewers yeast, select grains and water. The only difference between O'Doul's and other malt beverages, or beers, is that the alcohol is gently and naturally removed after the maturing process.; Contains only the finest natural ingredients - including barley malt, domestic and imported whole cone hops, brewers yeast, select grains and water.; O'Douls prides itself on gently and naturally removing the alcohol after the maturing process -- which provides the exceptional taste.",Non-Alcoholic Brew.,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Modelo Especial Mexican Lager Import Beer Bottles,$38.19,$39.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_387690ed-8f08-4b09-ac9c-e4f6273f5a6c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_00817736-4127-437b-8665-3ab24c51042d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d033e28-61b9-406e-9719-15e2cbb04f35.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_facc523e-2545-4b0e-8a58-86fc22b25644.jpg 4x","Full-Time Fans, this is our beer. Modelo Especial Mexican Beer is a rich, full-flavored pilsner beer that’s cheer-ready and perfect for game day. This lager beer's golden hue is complemented by its smooth notes of orange blossom honey and hint of herb. A light-hop character, tantalizing sweetness, and a crisp, clean finish make this smooth-drinking beer perfect for sharing with friends as your team takes the field. This imported beer 24 pack also the ultimate way to tailgate like a Full-Time Fan. Pair this 143-calorie* import beer in 12 oz cans with game day apps such as wings, nachos, and sliders for a perfect match-up. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. *Per 12 fl. oz. serving of average analysis: Calories 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Drink responsibly. Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL,• 24 pack of 12 fl oz bottles of Modelo Especial Mexican Import Beer,• Mexican pilsner beer with smooth, full-flavored notes that’s perfect for cheering on your team,• Modelo cerveza that pairs well with game day apps such as wings, nachos, and sliders,• Cheer-ready balanced lager with a golden hue and a crisp, clean finish,• Import beer made in Mexico, made for game day","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
Mike’s Strawberry Lemonade,,$12.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69788d9e-8c6b-4cc5-a254-42281ba0bb75.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_42921a89-c196-4fdb-a5d1-ce246d57685e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2bc32e6-7e25-4c2b-97aa-9109cb0ec3d9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c8ebcd2-7d05-4ce8-bf0e-84d443b8e6cd.jpg 4x","We started the Mike’s Hard Lemonade with the single aim of creating the most refreshing & amazing tasting beverages. Every bottle is bursting with a delicious blend of lemon and fruit flavors! Mike's Hard Strawberry Lemonade is the classic combo tart lemonade and sweet strawberry flavor. Each bottle is 5% ABV and bursting with refreshment. Mike’s Hard Lemonade is the original. Always has been. Always will be. For more information about our beverages, please visit mikeshard.com. Cheers! – Mike,• 6pk of 11.2 fl oz bottles of Mike's Hard Strawberry Lemonade,• The classic combo of tart lemonade and sweet strawberry flavor,• Nobody Makes Lemonade like Mike’s®,• Mike's Hard Strawberry Lemonade is the classic combo tart lemonade and sweet strawberry flavor. Each bottle is 5% ABV and bursting with refreshment.,• 5% ABV",,{},Contains alcohol.,Gluten Free,,
"New Belgium Brewing Tropic Force IPA, 19.2 fl oz Can",$5.29,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afb87ea8-8a7f-4e7c-b23e-c7a5de9114e6.jpeg 4x,"Voodoo Ranger Tropic Force Tropical IPA delivers hard hitting pineapple and mango at a full throttle 9.5% ABV. This hazy IPA is packed with tropical flavor that’s juicy and delicious. It’s a bright and bold IPA that’ll have your taste buds soaring. Prepare for take-off and hold on to your aviators cause this high-flying craft beer also has a helluva tropical bite. If you’re looking for innovative craft IPAs that are hop forward, bold, and occasionally hazy, the Voodoo Ranger fam has your back. Brewed by New Belgium Brewing, a certified B-Corp and proud member of 1% for the Planet. UOM is 19.2 fluid ounces. Count: one can.",contains GLUTEN,See bottom for enjoy by date.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Blue Moon Light Citrus Wheat Craft Beer,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_30db8d22-5294-4261-9227-f2c2e13272b6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_00c1557f-2910-4628-9e23-0f92c8106154.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6f50a23d-d5ac-479c-90a7-2007f943f5ab.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a7bdf1e5-f8be-4541-85d4-210108386033.jpg 4x","Enjoy the same refreshing flavor with a new name and look: Blue Moon Light Sky is now Blue Moon Light. Perfectly balanced and crisp, this tangerine beer shines with a bright taste and is brewed with real tangerine peel for a subtle tropical hop flavor and 4.0% ABV. It contains 3.6g carbs and 95 calories. This light beer is perfect for day drinking, beach days or just hanging with friends. Pick up a 12 pack of 12.0 fl oz cans of Blue Moon Light Citrus Wheat Craft Beer for a refreshing beverage anytime. Blue Moon Light is just one of the delicious varieties in the Blue Moon Family of Beers, try them all!,•12 pack 12.0 fl oz cans of Blue Moon Light Citrus Wheat Craft Beer,•Light and refreshing citrus flavored beer with 4.0% ABV,•Craft beer with 3.6g carbs and 95 calories,•New name and look, same refreshing flavor brewed with tangerine peel for a subtle tropical hop taste,•The perfect session light beer for day drinking, summer hangouts, beach days or BBQs,•Slim cans makes it easy to bring refreshing fruit beer anywhere you need","Water, Barley Malt, Wheat Malt, Corn Syrup (dextrose - Not High-fructose Corn Syrup), Tangerine Peel, Hops, Yeast, Natural Flavors.",Enjoy in a can. Best in a glass.,"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Michelob ULTRA Ultra Superior Light Beer,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1e5670b-be83-46fc-a17e-4a75c04c88f6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a73b0892-4aa7-4730-bfec-13b4536392e4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a714fede-5e36-40c1-b739-5a13056bd53a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d61cfa30-f880-44a6-a948-e8a1b670bcb7.jpg 4x","Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish. Not only is this American beer made with no artificial colors or flavors, but it has just 95 calories and 2.6 grams of carbs per serving; by drinking Michelob ULTRA, you can enjoy a cold beer without compromising your active lifestyle. Enjoy this bottled beer during dinner, social gatherings or get-togethers that call for refreshing drinks. The handle on this 18 pack of Michelob Ultra bottles makes it easy to transport with you anywhere.,18 pack of 12 fl oz bottles of Michelob ULTRA Light Beer,Light beer perfect for those living active and balanced lifestyles,Crisp light lager beer with a refreshing finish,Made with barley, hops, yeast and water and without artificial flavors or colors in every case of beer,Michelob light beer contains 95 calories and 2.6 g of carbs per serving, and has a 4.2% ABV",Superior Light Beer.,See above for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"New Belgium Brewing Imperial IPA Beer, 12 Pack, 12 fl oz Cans",,$19.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0512afb0-e912-4465-8e11-c6bcb529edb4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a8aa0b87-a083-4b8b-8eae-caf835006ac4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e321535-dd95-4b5b-8872-c126790e9c88.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c9ae3b5-e6ac-4294-a331-f508b2505dec.png 4x","Voodoo Ranger Imperial IPA is a beer crafted with a rare blend of choice hops. It features an explosion of fresh-cut pine and citrus flavors. This premium craft beer is bold yet balanced, brewed with a mix of Delta, Bravo, Centennial, Cascade, Calypso, and Mosaic hops. It’s a rich, classic, and complex beer that’s likely to become your new go-to IPA. Plus, with a 9% ABV, Voodoo Ranger Imperial is basically IPA royalty. Brewed by New Belgium Brewing, a certified B-Corp and proud member of 1% for the Planet.,If you’re looking for innovative IPAs that are hop forward, bold, and occasionally hazy, the Voodoo Ranger fam has your back. UOM is 12 fluid ounces. Count per pack: twelve pack, cans.",contains GLUTEN,{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Bud Light Lime American Lager Beer 12 Pack, 12 fl oz Bottles",,$16.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73c787d8-9594-4e54-b2ab-348b288b0df7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_91436c24-223d-4f1c-a5e4-c9bfe4f0273e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_179b525a-d576-4f4d-8018-7b1db5f79ccd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7e91dd7-0ec9-4477-92e9-6f8cbac265df.jpg 4x","Bud Light Lime Beer is the classic Bud Light beer you know and love, but made with real lime peels. This light lager is brewed using a blend of premium aroma hop varieties, barley malts, rice and real lime peels. Featuring a clean and crisp taste, this citrus beer delivers great refreshment with a hint of real lime flavor in every sip. Bud Light Lime is a premium beer made without any artificial flavors. Grab this twelve pack of bottled beer for barbecues or any outdoor gatherings that call for refreshing drinks, or keep some of these beer bottles stocked in your fridge so you're prepared when it's time for a Bud Light Lime.,12 pack of 12 fl oz bottles of Bud Light Lime Beer,Premium light lager brewed with real lime peels for a refreshing take on Bud Light,Case of beer with a clean and crisp taste with a hint of natural lime flavor,Lager beer brewed with a blend of premium aroma hop varieties, barley malts, rice and water,Lime drink made without any artificial flavors","Water, Corn, Barley, Cane Sugar, Citric Acid, Natural Flavor, Lime Peel, Hop Extract",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
White Claw Hard Seltzer Variety Pack No. 2,,$31.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_686ef150-86f9-44b0-a7b9-098cb26caa82.jpeg 4x,"WHITE CLAW® Hard Seltzer SURGE Variety Pack No.2. The wave just got stronger. Taste a surge of refreshment with every flavor, from juicy pineapple to ripe passion fruit, tart green apple and jammy strawberry. Made pure with quality ingredients, they are 8% Alc/Vol. without losing that fresh, clean finish. Best shared cold as the sun sets on your beach BBQ.,• White Claw® Hard Seltzer Surge is made from a blend of sparkling water, gluten-free alcohol, and a hint of fruit flavor,• Variety Pack with twelve (12) 12oz cans of White Claw® Hard Seltzer,• Four (4) refreshing flavors: juicy pineapple, ripe passion fruit, tart green apple and jammy strawberry.,• Per 12 fl oz: Gluten-free. 8% Alc./Vol. 12 fl oz. 160 calories and 2g of carbs.","Strawberry: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Green Apple: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Passion Fruit: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate. Pineapple: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Sodium Citrate.",,,Gluten Free,,
"Samuel Adams Cold Snap White Ale Seasonal Beer (12 fl. oz. Bottle, 12pk.)",,$21.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e78eb28-81fa-4943-9307-fb8f9c595d51.jpg 4x,"Nothing says spring is coming like this unfiltered White Ale with an exotic blend of ten fruits, spices, and florals. Bright orange notes give a zesty flavor while touches of vanilla and plum add a smooth, subtle sweetness. Complex and full of character, yet refreshing and easy-drinking, Cold Snap tastes like brighter days ahead. 5.3% ABV. 12 pack, 12 fluid ounce bottles.","Water, Hops, Malt, Yeast",Store in a cool place and rotate stock to ensure freshness.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Smirnoff Ice Screwdriver, 11.2 fl oz, 6 Pack Bottles, 4.5% ABV",,$14.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18457182-aa26-47da-af69-1460e80982d1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74ab404c-bf93-411e-ac0b-e48fa0d277aa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dcb30f40-1605-47b6-a3cf-4b4d9c898b65.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2497770-8aa3-4d5d-8601-38eadcf426df.jpg 4x","Spiked to perfection and ready to drink, Smirnoff Ice has a crisp, delicious flavor along with a refreshing tasting effervescence. You've got yourself the ideal drink for chilling by the pool, sipping on game day or relaxing by the fire. Try Smirnoff Ice in Blue Raspberry, Party Pack Variety, Green Apple, Red White & Berry, Neon Ice Variety, Pink Lemonade, Raspberry, Zero Sugar Original, Black Cherry, Mango, Grape, and more",,{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Leinenkugel’s Summer Shandy Craft Beer,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4237521-ea95-40a4-b0d2-752ec04f9e30.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2dccc35-f1b7-4d7f-849a-92da9eec0f75.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cdf2be4f-e75a-44ab-a298-fc39d44a6c7f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6600a877-07d3-4bae-bd4f-e8d150ad0b74.jpg 4x","Leinenkugel Summer Shandy is an award-winning, traditional weiss beer with refreshing natural lemonade flavor, and a 4.2% ABV. This refreshing weiss beer with natural flavors has a light, crisp taste that is perfect for any season, now brewed year-round.,•Six pack of 12 fl oz bottles of Leinenkugel Summer Shandy Beer, Craft Beer,•Crisp, refreshing weiss beer with natural lemonade flavor,•Pairs well with barbecue chicken, fruit salads, and grilled fish,•Canned beer pairs well with BBQ chicken, fruit salads, watermelon and freshly caught, grilled fish,•Carry case of beer bottles makes it easy to bring to family BBQs, picnics at the park or holiday get togethers,•Carry case of beer bottles makes it easy to bring to family BBQs, picnics at the park or holiday get togethers","Water, Barley Malt, Corn, Corn Syrup (maltose), Oats, Yeast, Hops",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Heineken Silver Lager Beer,,$18.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e3189981-1006-4cbe-8768-a6bf4e4cfe0b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7cb294f6-5263-4ff7-beff-dbd851bec273.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_44c80a55-4b23-4461-a2d6-078f7835e1fd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8905b3d2-8323-410b-a250-5b1ef71a0ee1.jpg 4x","World-Class Light Beer. Heineken® Silver is 4% ABV, only 95 calories and 2.9g carbs, Heineken® Silver has the same ingredients as Heineken Original® but is brewed at -1° Celsius, which eliminates bitterness , Heineken® Silver is only 5 IBUs, making it a smooth and easy to drink, Heineken® Silver is available in a 12oz bottle, 12oz slim can, 16oz can and 24oz can, Despite being so light at only 95 calories, Heineken® Silver has the same color as Heineken Original, Imported from Holland, Enjoy responsibly , A world-class light lager beer with all the taste and no bitter endings, Heineken® Silver is brewed with an ice-cold lagering process at -1° Celsius, which eliminates the feeling of drinking a heavy beer and smooths out any bitterness in the flavor profile. Brewed with uncompromised quality, Heineken® Silver is 4% ABV and has only 2.9g carbs and 95 calories per serving, making it an easy to drink imported lager with an extra refreshing taste and light subtle finish. Enjoyed in a bottle or can, this is a light European beer worth of the Heineken® name.","Water, Malted Barley, Hop Extract",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Bud Light American Lager Beer 30 Pack, 12 fl oz Cans",$34.39,$37.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fbcfff57-6dde-4bf5-927f-8022c556c22f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06457219-a943-4278-9337-be4740aeee37.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d77f652b-16b6-47e7-a48f-40f6d3cb0323.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_319ed069-ac28-4c82-91e5-2fce85fba98c.jpg 4x","Bud Light is a premium beer with incredible drinkability that has made it a top selling American beer that everybody knows and loves. This light beer is brewed using a combination of barley malts, rice and a blend of premium aroma hop varieties. Featuring a fresh, clean taste with subtle hop aromas, this light lager delivers ultimate refreshment with its delicate malt sweetness and crisp finish. Bud Light is made with no preservatives or artificial flavors. Grab this pack of beer cans when you're in charge of providing party drinks, are in need of cold beer for a tailgate or simply want to keep a pack in your fridge so you're ready when a Bud Light can calls your name.,30 pack of 12 fl oz cans of Bud Light Beer,Premium light lager brewed in the USA,American lager beer with a fresh, clean taste and a refreshing, crisp finish,Canned beer made with a blend of premium aroma hop varieties, barley malts, rice and water,Case of beer brewed with hand selected hops that add the right amount of floral notes and bitterness","Ingredients Water, Barley, Rice, Hops",See above for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Truly Hard Seltzer Citrus Variety Pack,$20.99,$22.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddc07194-c2b8-4217-adab-ce418bc9eac9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f019ade4-5a76-4321-8e55-7a414f90b586.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac441bad-544c-43d3-892a-ae9a2946d286.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a5243db-2687-4d98-9d3e-37ff35c37604.jpg 4x","Truly Hard Seltzer Citrus Variety 12 pack combines four tangy and crisp fruits into one pack - Lime, Grapefruit, Citrus Squeeze, and Lemon. Each can is packed with notes of citrus and tart flavors. With a hint of flavor with real fruit juice from concentrate, this pack is sure to have everyone unwind and take it easy. Each 12oz. can of Truly has 5% alc./vol., 100 calories and 1g sugars for refreshment that won’t weigh you down. Three 12 oz. cans of each flavor. Variety 12 pack, 12 fluid ounce slim cans. Gluten Free.","Filtered Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, And Sodium Citrate",Please drink responsibly.,Contains alcohol.,Gluten Free,,
Simply Spiked Spiked Peach Variety 12 Pack Cans,,$21.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd1594ed-bcb8-4e20-90f5-dc61a0eb6fec.png 4x,"It's getting juicy with this refreshingly delicious variety pack of Simply Spiked Peach, featuring four fabulous flavors! Signature Peach balances the flavor of a juicy peach with sweet/tart notes and 5% ABV. Kiwi Peach features fresh, flavorful kiwi with a sweet peachy and refreshing finish and 5% ABV. Strawberry Peach has fresh strawberry character, peach sweetness, a refreshing finish and 5% ABV. Mango Peach is tart, juicy, and mango forward––a tropical escapist’s dream with 5% ABV. These refreshing flavored malt beverages are made with 5% real fruit juice that's squeezed, then concentrated for a fruity taste you'll love. Perfect for hanging out on the rooftop or grilling in the backyard. Pick up a 12 pack of 12 fl oz cans today and enjoy juicy taste and juicy times!,•12 pack of 12 fl oz cans of Simply Spiked Peach Variety Pack,•Flavors: Signature Peach, Kiwi Peach, Strawberry Peach, Mango Peach5% ABV,•""Made with real fruit juice,* and lightly carbonated,* 5% real fruit juice; squeezed then concentrated"",•Juicy spiked peach beverage, bursting with a sweet and refreshing peach flavor,•Perfect for hanging out on the rooftop or grilling in the backyard","Signature Peach: Carbonated Water, Alcohol, Cane Sugar, Peach Juice from Concentrate, Apple Juice from Concentrate, Citric Acid, Natural Flavors, Sodium Citrate, Stevia Extract. Kiwi Peach: Carbonated Water, Alcohol, Cane Sugar, Kiwi Juice from Concentrate, Peach Juice from Concentrate, Apple Juice from Concentrate, Natural Flavors, Citric Acid, Sodium Citrate, Stevia Extract. Mango Peach: Carbonated Water, Alcohol, Cane Sugar, Peach Juice from Concentrate, Mango Juice from Concentrate, Apple Juice from Concentrate, Citric Acid, Natural Flavors, Sodium Citrate, Stevia Extract. Strawberry Peach: Carbonated Water, Alcohol, Cane Sugar, Peach Juice from Concentrate, Strawberry Juice from Concentrate, Apple Juice from Concentrate, Natural Flavors, Citric Acid, Sodium Citrate, Stevia Extract.",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
White Claw Hard Seltzer Variety,$20.99,$22.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d66a5b81-6960-46e4-a9e2-63c0fd209600.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52d380bc-a019-4ee4-810c-6bdbf50198f4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d6541183-5ffb-486f-98fc-8f0e28ba7bcd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07955e23-cefb-4652-929e-664a3e2ad8d4.jpg 4x","White Claw® Surf Hard Seltzer, a perfect collision of incredible flavors, delivering waves of sensational taste refreshment like no other. Crafted with quality ingredients, White Claw® Surf Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor. White Claw® Surf is available in four new flavors including Citrus Yuzu, Tropical Pomelo, Blackberry Acai and Watermelon Lime. Each 12oz can contains 100 calories, 5% alcohol, and 1g carbs. Please drink responsibly. 21+,• White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a collision of fruit flavors,• Variety Pack with twelve (12) 12oz cans of White Claw® Hard Seltzer,• Four (4) refreshing flavors: Citrus Yuzu, Tropical Pomelo, Blackberry Acai and Watermelon Lime,• Each 12oz can contains 100 calories, 5% alcohol, 1g carbs,• 100 Calories,• 5% Alcohol,• 1g Carb,• Gluten Free","Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Lemon Juice Concentrate, Sodium Citrate Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Grapefruit Juice Concentrate, Sodium Citrate Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Watermelon Juice Concentrate, Sodium Citrate Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Blackberry Juice Concentrate, Sodium Citrate",{},Contains alcohol,Gluten Free,,
