Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
Kim Crawford Sauvignon Blanc,$21.99,$24.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_456473f5-91c1-47a3-8fc5-5f2a43b95456.png 4x,"Kim Crawford Sauvignon Blanc White Wine is fresh and juicy with ripe, tropical flavors of passion fruit, melon, and stone fruit. Each sip of wine reveals classic Marlborough sauvignon blanc aromas of lifted citrus, tropical fruit, and crushed herbs, along with vibrant acidity and plenty of weight and length on the palate. This New Zealand sauvignon blanc is made with grapes specially selected from vineyards in Marlborough's Wairau Valley and the neighboring Awatere Valley. The climate and fast-draining soil in this region offer winemakers a selection of grapes that deliver the consistently flavorful wine for which Kim Crawford is known. Pair this Kim Crawford white wine with fresh oysters, asparagus, lobster, or a light salad. For optimal taste, refrigerate this sauvignon blanc wine for at least two hours then serve chilled. Make it Amazing with Kim Crawford wine. Please enjoy our wines responsibly. © 2025 Constellation Imports, Rutherford, CA,• One 750 mL bottle of Kim Crawford Sauvignon Blanc White Wine containing five 5-oz servings of wine,• White wine with citrus, tropical fruit, and crushed herb aromas plus flavors of passion fruit, melon, and stone fruit,• Fruity wine that pairs well with fresh oysters, asparagus, lobster, or light salads,• Juicy New Zealand wine with bright acidity and a weighted finish on the palate,• Table white wine featuring grapes from select vineyards in Marlborough's Wairau Valley and Awatere Valley",Sauvignon Blanc,{},Contains sulfites,,,
"Barefoot Pinot Grigio, American",$13.09,$22.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f366f94-03f3-4616-ae45-1661f74e6102.png 4x,"Make any occasion taste special with Barefoot Cellars Pinot Grigio. This bright white wine is made with Pinot Grigio grapes and offers all the hints of tart green apples with fresh, white peaches. Accented with floral blossoms and citrus aromas, this wine is a light-bodied classic with a crisp, bright finish. This white wine is best served chilled and pairs perfectly with traditional favorites like poultry, pasta and pizza. It’s also the ideal wine for making cocktail recipes, like a Pinot Mule. Barefoot Cellars Pinot Grigio is great for a variety of occasions, whether you're entertaining friends and family at an outdoor party or you need a wine gift for your best girlfriend. Each 1.5 L bottle contains about 12 glasses of wine with 12.5% alcohol by volume. Produced and bottled in California, Barefoot is the most awarded wine brand in U.S. competitions. In addition to Pinot Grigio, Barefoot wine is also available in Moscato, Rose, Chardonnay and other varieties.,• One (1) 1.5 L wine bottle of Barefoot Cellars Pinot Grigio White Wine,• A light-bodied white wine with all the notes of tart green apples and white peaches accented by floral blossoms and citrus aromas with a crisp, bright finish,• Enjoy drinking a glass of this white wine on its own or paired with traditional favorite foods, like poultry, pasta and pizza,• Ideal wine for making cocktail recipes, such as a Pinot Mule,• Each 1.5 L bottle contains about 12 glasses of wine with 12.5% alcohol by volume,• The larger bottle is perfect for entertaining or giving as a wine gift,• Produced and bottled in California by Barefoot, the most awarded wine brand in U.S. competitions",,"Barefoot Pinot Grigio is a perfect match with poultry, seafood, spicy pasta, and pizza. Refreshing!,Refrigerate after opening.",Contains sulfites,,,
KORBEL Brut Champagne,$14.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc4d24e5-4822-4209-af3e-a30c7da67908.png 4x,"Korbel Brut California Champagne is the perfect complement to every celebration. Lively aromas of citrus and cinnamon lead to crisp flavors of orange, lime, vanilla and a hint of strawberry. Using the traditional méthode champenoise, Korbel Brut is fermented inside the same bottle from which it is served. This California winery blends some of the finest Chardonnay, Chenin Blanc, French Colombard and Pinot Noir grapes, to deliver delicate nuances and countless dazzling bubbles for a delicious California champagne. As a gold medal winner at the 2019 Los Angeles International Wine Competition and 2020 San Diego International Wine & Spirits Competition, this smaller 187 ml bottle of Korbel Brut California Champagne should be an essential, on-the-go item for gifts, celebrating more weddings and showers, anniversaries, and New Year's Eves. Korbel Brut is wonderful on its own or as part of a festive mimosa bar. This refined sparkling wine has a 12% alcohol by volume, and a balanced, medium-dry finish that pairs well with caviar, fried foods, salty snacks, and shellfish.","Champagne, Sulfites.","Korbel Brut is the perfect way to start an evening! Its crisp acidity pairs beautifully with appetizers such as cheese, oysters, caviar, smoked salmon, and fried or salty foods. It's delicious with all shellfish and sushi as well as egg dishes and roasted poultry. This classic brut is also wonderful on its own!",Contains sulfites.,,,
Woodbridge Chardonnay White Wine Bottle,$13.09,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48638111-1b39-4fff-93e8-a2f98e1cdd3a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ad65f9c-6b58-4de7-ac70-a801f4ab9008.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4653d824-91a5-4d03-9270-862a40bedd5a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc5de936-6863-4d56-bce1-b5c28bbfcbca.jpg 4x","Woodbridge Chardonnay White Wine unveils aromas of pear complemented by subtle oak and cinnamon. This California chardonnay wine's light to medium body and vibrant acidity showcase characteristic flavors of peach and apple, leading to a toasty finish with vanilla oak notes. Grapes in this California white wine are sourced from vineyards where warm days and cool breezes permit the grapes to mature fully for nicely balanced, well-rounded flavor. Oak aging on the lees further enriches the texture and complexity of this Woodbridge Wine by Robert Mondavi. Pair this fresh yet silky chardonnay wine with light appetizers, as well as hearty dishes like roast chicken with white truffle risotto, or take time to indulge, enjoying a glass of wine on its own. For best flavor, chill this 1.5 liter bottle of wine for two to two and a half hours before serving at approximately 50 degrees. Winner of multiple Wine Enthusiast BEST BUY awards since 2011, Woodbridge is Wine Your Way. Please enjoy our wines responsibly. © 2025 Woodbridge Winery, Acampo, CA,• One 1.5 L bottle of Woodbridge Chardonnay White Wine, equal to two standard 750 mL bottles,• California white wine with vibrant aromas and flavors of pear, apple, peach, oak, and toast,• Table white wine that pairs well with light appetizers and hearty entrees,• Medium-bodied white California wine with balanced acidity and rich, toasty finish,• Bottled wine featuring premium grapes from California",Chardonnay,,Contains sulfites,Peanut Free,,
Woodbridge Cabernet Sauvignon Red Wine Bottle,$13.09,$22.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_21017498-e269-42a0-bd4e-7a0d420e2415.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_031ee9e1-4cb7-4bbf-9f6d-8e23734504e6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_beae0182-cbab-4f78-bb45-f46225943c32.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2fdb6278-508d-4769-a0f7-7d8f09c9f4fd.jpg 4x","Woodbridge Cabernet Sauvignon Red Wine is a fruit-forward California wine that opens with enticing aromas of cherries, berries, rich cedar, brown sugar, and toast. This delicious red wine imparts flavors of blackberries, dark cherry, spice, toasted marshmallow, graham cracker, and chocolate to each glass of wine. Medium-bodied and with a pleasing complexity of flavors, this cabernet sauvignon wine pairs deliciously with grilled meats, tomato-based pasta dishes, and chili. Many of the grapes used to make this Woodbridge Wine by Robert Mondavi are harvested from California vineyards where warm days and cool breezes cultivate fully mature grapes that consistently produce well-balanced and fruit-expressive red table wine. Crafted to increase richness and soften tannins, this 1.5 liter bottle of wine has a toasty caramel finish. Store this cabernet sauvignon wine at room temperature, then chill for 30 to 60 minutes and serve at approximately 60 degrees. Winner of multiple Wine Enthusiast BEST BUY awards since 2011, Woodbridge is Wine Your Way. Please enjoy our wines responsibly. © 2025 Woodbridge Winery, Acampo, CA,• One 1.5 L bottle of Woodbridge Cabernet Sauvignon Red Wine, equal to two standard 750 mL bottles,• Cabernet wine with aromas and flavors of dark cherry, blackberry, cedar, brown sugar, toast, and spice,• Delicious red wine that pairs beautifully with grilled meats, tomato-based pasta dishes, and chili,• Medium-bodied and complex red table wine with a toasty caramel finish,• Woodbridge bottled wine featuring premium grapes from California",Cabernet Sauvignon,{},Contains sulfites,Peanut Free,,
Menage A Trois Silk Soft Red Blend,,$11.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1023873b-524c-4fcf-891d-92c87897848f.png 4x,"Menage a Trois Silk Red Wine is a smooth, seductive red blend that caresses you with every sip. Made with a blend of Pinot Noir, Malbec and Petite Sirah, this full-bodied bottled wine glides gracefully across your palate like liquid silk. Succulent cherry and ripe raspberry flavors mingle with delicate hints of rose petals and toasty spice. The 2021 vintage received 90 Points at the Toast of the Coast Competition. Enjoy this soft, smooth red wine blend red wine with roast chicken, steak and salmon. California wine made with grapes sourced from premier California vineyards. To further illuminate the wine’s unique texture and flavors, the red blend is enhanced with a hint of sweet, spicy French and American oak. This bottled wine has 13.6% alcohol by volume. As you gather around the table this holiday season, enjoy Menage a Trois wine in your favorite wine glasses with mashed potatoes, chicken, turkey, stuffing and all the pumpkin & apple pies. Or get cozy around the fireplace and warm up while enjoying a glass of wine. Menage a Trois wines is the perfect holiday gift. Whether you gift wine as a stocking stuffer, to your neighbor across the street, or serve at your own holiday table. Menage a Trois wines are a great addition to holiday wine gift sets! Menage a Trois offers a robust portfolio of award-winning wines that consistently delight with a high-quality experience.,• Red blend with cherry and raspberry flavors mingle with delicate hints of rose petals and spice,• Silky smooth, full-bodied red wine with alluring depth,• The 2021 vintage received 90 points at the 2023 Toast of the Coast Competition,• Pair Silk red blend with roast chicken, steak and salmon,• Made using Pinot Noir, Malbec and Petite Sirah varietals sourced from premier California vineyards,• Enhanced with a hint of sweet, spicy French and American oak,• One 750mL wine bottle of Menage a Trois Silk Red Wine, 13.6% ABV","Pinot Noir, Malbec, Petite Sirah, Sulfites.","Summer Sangria Cocktail,1/2 Apple chopped & diced,1 cup fresh cranberries,1/2 Orange thinly sliced,1 bottle Menage a Trois Silk,1/2 cup fresh squeezed orange juice,1 cup Cranberry juice,Garnish with cinnamon sticks,Refrigerate for at least 3 hours,Serve and enjoy!",Contains sulfites,,,
Robert Mondavi Private Selection Cabernet Sauvignon Red Wine Bottle,$11.89,$14.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a0d3b69-cbb5-4b6d-8d3c-9eb1091f240f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76376796-893e-40b0-8ca8-56680f204c5e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2739be58-079b-4d8a-b012-b9a1318353f3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f553efd5-673f-4c28-80da-6cbedc87bc25.jpg 4x","Robert Mondavi Private Selection Cabernet Sauvignon Red Wine offers fresh fruit character and bright acidity. This dry red wine opens with aromas of ripe black cherries, blackberries, red berry, and spice, followed by luscious flavors of ripe Bing cherries, blueberry, toasty oak, and hints of coffee and vanilla. When it comes to achieving the timeless flavor of Cabernet Sauvignon, California is a premier winegrowing region known for producing bold, fruit-forward flavors. Crafted with grapes grown in the cool climate of California's Central Coast vineyards along the Pacific Ocean, this medium bodied red wine was then aged for 10 months in French and American oak barrels. This barrel aging, along with the red grapes' slow ripening process, imparts a pleasing complexity and depth of flavor. If you’re looking for elevated everyday wines, Cabernet Sauvignon by Robert Mondavi Private Selection is an excellent choice. Enjoy a glass of this delicious wine on its own or share it at a wine and cheese party. Store this 750 mL bottle of red wine at room temperature, and then chill for 30 to 60 minutes before serving at approximately 60°F.,• One 750 mL bottle of Robert Mondavi Private Selection Cabernet Sauvignon Red Wine with five 5-oz servings of wine,• Aromas of red berry and spice, plus cherry, blueberry, toasty oak, coffee, and vanilla flavors,• A great Cabernet Sauvignon that pairs well with grilled lamb and hearty pasta dishes,• Fruit-forward, medium-body red wine with a bright finish,• Made with grapes from Central Coast vineyards in California",Cabernet Sauvignon,{},Contains sulfites,"Gluten Free,Peanut Free",,
Oyster Bay Sauvignon Blanc,$15.99,$18.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_528c8bdc-2524-44b1-9857-87e025930cf0.png 4x,"The first Oyster Bay New Zealand wine. Which happened to win the best Sauvignon Blanc in the world. Its brilliant clarity, extraordinary aromatic flavors and refreshing zest are both thrilling and enthralling.,It all starts in our Marlborough vineyards, in the region famous for introducing elegant, cool climate New Zealand wines to the world. Marlborough’s warm days and cool nights create an extended growing season allowing the grapes to develop strong, intense varietal characteristics while maintaining a balanced, crisp natural acidity. The result is a distinct white wine that is always crisp, elegant, and refreshing.,• Oyster Bay Sauvignon Blanc White Wine, 1 - 750ml Bottle,• Taste notes of stunningly aromatic tropical fruits and bright citrus notes, with a refreshingly zesty finish,• Crisp, elegant and refreshing,• Pairs perfectly with lighter meals, a variety of fresh Asian flavors, and seafood,• Oyster Bay Sauvignon Blanc white wine was recently awarded 90 points from James Suckling,• From Marlborough, New Zealand's largest and most renowned wine region,• Oyster Bay is a founding member of Sustainable Winegrowing New Zealand,• Made to be enjoyed within a year or two of the vintage",Sauvignon Blanc,"Pairs perfectly with lighter meals, a variety of fresh Asian flavors, and seafood. Made to be enjoyed within a year or two of the vintage.",Contains sulfites.,,,
Black Box Wines Cabernet Sauvignon,$19.99,$26.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5dd6acd5-2541-45de-99f6-27292506c712.png 4x,"Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. One 3-liter box contains the same amount of wine as four 750ml bottles, is 40% less expensive than comparable bottled wines, and stays fresh for six weeks after opening. Our award-winning Cabernet Sauvignon is full-bodied & smooth with aromas of black currant, oak, and vanilla, balanced tannins, and blackberry and chocolate flavors that lead to a soft finish. Pair this smooth red wine with grilled meats or Italian dishes.",Cabernet Sauvignon,{},Contains sulfites,,,
Black Box Wines Chardonnay,$19.99,$26.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dff537ed-bb5b-4fd6-8b2b-91fa65243082.png 4x,"Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. One 3-liter box contains the same amount of wine as four 750ml bottles, is 40% less expensive than comparable bottled wines, and stays fresh for six weeks after opening. Our award-winning Chardonnay boasts a rich palate of mango, pineapple and a hint of oak. This white wine has excellent depth and structure that leads to a complex finish and perfectly complements grilled chicken or fish.",Chardonnay,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Starborough Sauvignon Blanc,$9.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eafc034e-e803-4bcc-9166-5ef953ac1bd2.png 4x,"Starborough New Zealand Sauvignon Blanc is a crisp and refreshing white wine with balanced acidity. It has layers of citrus and tropical fruit with a fresh green character, which make the wine a true expression of the Marlborough region. Notes of passion fruit, guava and kiwi layered over citrus form a crisp, approachable palate. Fruity and enticing, Starborough Sauvignon Blanc wine is great for an outdoor party or any occasion. A convenient screw cap offers easy opening and secure closure. Discover the pure, uplifting spirit of Marlborough, New Zealand.,• One 750 mL bottle of Starborough New Zealand Sauvignon Blanc White Wine,• Refreshing, crisp white wine with balanced acidity,• Lively citrus, tropical fruit and grassy notes,• Starborough Marlborough Sauvignon Blanc complements any meal or occasion,• From the lush-green Marlborough region of New Zealand","Wine Sauvignon Blanc (Citrus, Tropical Fruit, Flavors of Passion Fruit, Guava and Kiwi).",{},Contains sulfites,,,
Cupcake Vineyards Sauvignon Blanc,$11.99,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9661593-f970-43ad-a620-a09a2d427235.png 4x,"Cupcake Vineyards Sauvignon Blanc white wine sourced from Marlborough, New Zealand is lively with mouthwatering notes of stone fruit, passion fruit, and lemon. With 12.5% ABV, this wine pairs exceptionally well with Thai take-out. Ideal for enjoying during a casual dinner or a relaxed evening. Cupcake Vineyards Sauvignon Blanc offers a rich and balanced flavor profile that complements a variety of dishes. This white wine also boasts numerous accolades, including 91 Points from The Tasting Panel.","Sauvignon Blanc, Sulfites.",{},Contains sulfites,,,
Meiomi Pinot Noir,$23.99,$28.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2d0aa48-b73c-451c-b940-ac92893e507e.png 4x,"Meiomi® Pinot Noir Red Wine offers a taste of coastal California with unforgettable balance, complexity, and richness of flavor. This Pinot Noir from California opens with jammy fruit and toasty oak aromas, followed by expressive flavors of dark berry, juicy strawberry, toasty mocha, and vanilla. It’s a full bodied red wine that reveals a silky texture, balanced acidity, and lengthy finish. For high-quality Pinot Noir, California is a winegrowing region with the perfect combination of diverse microclimates, ocean air, cool mornings, and warm afternoons to produce the varietal’s smooth, signature flavor. Carefully crafted with grapes grown in California’s most notable winegrowing regions, Meiomi offers a unique structure and depth seldom seen in other red wines. Pinot Noir by Meiomi makes an excellent pairing with thin-crust pizza and is perfect for enjoying at your next get-together or while watching golf. For optimal flavor, chill this 750ml bottle of red California wine for one hour before serving.,• One 750 mL bottle of Meiomi Pinot Noir red wine containing five 5-oz servings of wine,• Dry red wine with jammy fruit aromas and flavors of dark berry, strawberry, and mocha,• A Pinot Noir red wine to pair with thin-crust pizza,• Full bodied wine with a silky texture, balanced acidity, and a long finish,• Made with grapes from California’s coastal winegrowing regions",Pinot Noir,{},Contains sulfites,,,
Stella Rosa Black Semi-Sweet Red Wine 750 ml,,$13.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d41ab252-d329-4d5b-bf64-9e69f3c2e260.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_827623ab-cbdb-4311-8e16-216d1a2850fa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76517982-f103-4b60-930a-c4f116520c6d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7f9ee1c-4dc4-49f7-8404-f04c266762ef.jpg 4x","Stella Rosa Black Semi-Sweet Red Wine is a proprietary blend of several red grape varietals including Brachetto. The grapes are harvested, pressed, centrifuged, and then held cold as juice at 28 degrees Fahrenheit. The juice is fermented at various intervals throughout the year allowing the wine to remain fresh and delicate. The Riboli family uses this technique to capture the fresh flavors of blackberry, blueberry, and raspberry. During the fermentation process, the alcohol is created in tandem with the wine’s natural carbonation. Once the desired sweetness is achieved, the wine is centrifuged and bottled. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.","Wine, Water, Grape Must, Sugar, Color Added (grape Skin Extract), Natural Flavors, Sulphur Dioxide (antioxidant).",{},Contains sulfites,Gluten Free,,
Barefoot Chardonnay White Wine,$9.29,$11.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a526b66-f4a7-4bc9-b9ce-9d85bcbab38e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23142aa0-c642-486f-a0b2-ec6c61bf16dd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82b3a5c2-e2c0-407c-bc4a-b8f124f8ea4e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e460190-d757-447d-806d-8628aa0adf43.png 4x","Barefoot Chardonnay White Wine features tempting notes of fresh green apple and sweet peach with hints of honey and vanilla in a 750 mL bottle. With a smooth and crisp finish, this medium bodied California wine is ideal for sharing with friends or family at an outdoor party on a warm summer day. This Chardonnay wine comes from Barefoot, the most awarded wine brand in US competitions. Let's get Barefoot.,• One 750 mL bottle of Barefoot Chardonnay White Wine,• Medium bodied white wine with a smooth finish,• Bold notes of fresh green apples, sweet peaches and hints of honey and vanilla,• Enjoy this white wine with pasta, poultry or fresh fruit,• White wine from California,• From Barefoot, the most awarded wine brand in US competitions","Green Apple Flavors and Peaches Flavors, Honey, Vanilla.","Barefoot Chardonnay is perfect with seafood, poultry, fresh fruits, white sauce pastas and mild cheeses. Wonderful!","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Mark West California Pinot Noir,$13.99,$15.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ebe07851-50f0-489b-beb8-1d93b0a07efa.png 4x,"Mark West Wines accepts nothing less than the best, which is why the fruit for the wines is sourced from the finest vineyards throughout California’s appellation. To make the best pinot noir, vintners first gently de-stem and crush the grapes when they come into the winery. Daily punch-downs and pump-overs extract flavor and color. At Mark West, there's nothing more important than sharing a passion for pinot with others. This pinot is the original. It is medium-bodied with black cherry, cola, strawberry, plum, and soft tannins. This red wine pairs well with pastas with light, tomato-based sauces, a juicy cheeseburger, grilled salmon, and roasted pork tenderloin, or on its own.",Pinot Noir,"Medium in body with soft tannins, this wine pairs perfectly with grilled salmon and roasted pork tenderloin.",Contains sulfites,,,
Clos du Bois North Coast Chardonnay,$12.99,$15.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94f61f35-52fc-40d4-8183-b0e2091ee949.png 4x,"Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Chardonnay is a brilliant silvery straw yellow in color, with intense aromas of apple blossom, ripe pear, and sweet lemon drop complemented by toasty oak. This crisp, refreshing white wine will complement a variety of foods, including fish prepared in lemon butter sauce, pasta in cream sauce, and herb-roasted chicken.",Chardonnay,"Enjoy a glass chilled by itself, or pair with your favorite chicken, fish or creamy pasta dishes. Pairs Well with: Lemon butter fish, creamy pasta & herb-roasted chicken. Over 40 years of winemaking dedication.",Contains sulfites,,,
Roscato Sweet Red,$15.89,$22.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41dce104-5b71-4a10-9d2b-527dd822a33b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6db6ef1-a70b-4826-87b1-508a0ba2b4e6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_435424c0-1f5f-4f2e-b22b-d232bd49f7bd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a2cfc79-bc17-453e-999f-e3cad12a00ef.png 4x","Northern Italy provides a spectacular backdrop for Roscato, a violet-hued red with aromatic notes of cherry, blackberry and red raspberry. A touch of sweetness underlies the appeal of this charming wine. This fruit-forward red complements barbecue dishes, pasta in red and cream sauces, breaded cutlets and spicier fare.","Sweet Red Wine (Aromatic notes of Cherry, Blackberry and Red Raspberry, Sulfites).",Enjoy chilled.,Contains sulfites,,,
