Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"WATERFRONT BISTRO Salmon, Atlantic, Peppered/Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c9488b1-6eb6-4ff3-8b0c-880d9c72d88f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e177f2b4-f517-47c8-be8d-cce1513eaf94.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a0e05cc-c3a6-4fee-9940-ec638d42f042.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51824fcc-c2cf-4719-a785-b5790286d729.png 4x",,,"Per 2 oz Serving: 120 calories; 1 g sat fat (5% DV); 450 mg sodium (19% DV); 0 g total sugars. 1 g of omega-3 fatty acids per 2 oz serving. 100% money back guaranteed. Quality & satisfaction. No artificial preservatives. No antibiotics. Hardwood smoked. Ready to eat. Perishable. Our hot Smoked Atlantic Salmon is raised in the deep, pristine Fjords of Norway - near the Arctic Circle. Richly flavored, this fully cooked salmon is a natural source of omega 3's. Smoked with hardwood and finished with a zesty black pepper crust. Scan for more information. Responsible Choice. Our Commitment to Sustainability: We are committed to providing premium, restaurant-quality seafood that is sourced in accordance with our Responsible Seafood Policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Product of Germany. Farm raised in Norway.","Atlantic Salmon (salmo Salar) (color Added), Salt, Pepper, Smoke From Hardwood.","Keep refrigerated at 38 degrees F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
Heron Point Seafood Lump Crab Meat,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b14c7e6-640b-46b0-9008-8ed0a291d258.png 4x,,,Heron Point Seafood Lump Crab Meat.,"Blue Swimming Crab Meat, Sodium Acid Pyrophosphate (sapp) Added To Retain Color.",Keep refrigerated. Fully cooked. Perishable. Do not freeze. Examine and remove any shell before using.,,,,,,,
Honey Smoked Fish Co. Original Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3ebf7a99-991f-4c43-8df6-87a4d61b85a7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d600fbb-acc6-4547-8d46-f23437f44a95.jpg 4x",,,"Ready-to-eat straight outta’ the bag! Honey Smoked Salmon® is fresh, never frozen – meaning our sustainably sourced salmon is ready to enjoy within days after being caught. Food this nutritious isn’t supposed to be crazy flavorful; any kale or broccoli fans? Swimming in good-for-you stuff like Omega-3’s, protein, and Vitamin D, you can feel good about adding Honey Smoked Salmon® to any meal or snack.,We’re not one to share our secrets, but we’ll let you in on one – it’s our small batch smoking process that really seals the deal. After marinating for 90 minutes, our salmon spends a toasty five hours smoking over hardwood hickory chips locking in our signature Honey Smoked flavor.,All that sound good? We think so too. That’s why we’re passionate about our Honey Smoked Salmon®. Try it once, and you’ll be hooked! Pun intended.","Atlantic Salmon, Water, Salt, Honey, Herbs & Spices, Citric Acid, Garlic, Onion, Color Added through Feed","For best flavor, remove from refrigerator and package 25 minutes prior to serving. If you prefer your salmon warm, flake on top of the dish you are preparing like pizza or pasta.,Keep refrigerated at or below 38 degrees F. Can be frozen up to 12 months. Defrost in refrigerator 24 hours prior to use.,Use within 5 days of opening.",Contains Fish (Salmon),,,,,,
Mowi Everything Seasoned Cold Smoked Atlantic Salmon,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6508b09b-4fd3-4d12-8155-634697f1aade.png 4x,,,,"Atlantic Salmon (salmo Salar) (color Added Through Feed), Salt, Sesame Seeds, Roasted Dehydrated Garlic, Toasted Dehydrated Onion, Black Sesame Seed, Poppy Seed, Cane Sugar, Black Pepper And Dill.",,"Contains: salmon (fish). Although every effort has been made to remove bones, some small bones may remain.",,,,,,
WFB Cold Smoked Atlantic Nova Salmon Wheel,,$18.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c62a348-5bb6-4881-bd4a-0b7eebf6637d.jpeg 4x,,,,,,,,,,,,
Latitude 45 Hot Smoked Atlantic Salmon Portion,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bbee64b1-c608-45bc-ab31-7a761abcaf76.png 4x,,,"Fully Cooked & Ready to Eat.,Good Source of Vitamin D.,No Artificial Preservatives.","Ingredients: Farm-raised Atlantic Salmon (color Added Through Feed), Salt, Sugar, Natural Hardwood Smoke. Contains Fish (salmon).",,Caution: it may contain bones.,,,,,,
"Nathan’s Famous Nova Salmon, Keta, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c4789b3-be5e-49de-bd6d-57deeb4e8fd2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a394c531-6f7b-45aa-8f99-5303be18312f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_95583202-dcf2-446c-afe8-75240e7f3c13.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e11c8970-ff87-4753-9327-be7b86878150.png 4x",,,"The original since 1921. Traditional delicatessen. Smoked, sliced & ready to eat. Nathan's smoked wild caught nova salmon is pre-sliced, ready-to-eat and easy to use. For decades we have been creating delicately smoked wild caught nova salmon using our traditional recipe. Our salmon are cured and slowly hardwood smoked, so that the delicate qualities of the salmon balance with just the right amount of smoky flavor. The result is the superb flavor you would expect from a traditional delicatessen smoked salmon.","King Salmon, Salt, Sugar, Sodium Benzoate, Sodium Erythorbate, Sodium Nitrite (added As Preservatives), Fd&c Yellow #5, Yellow #6, Red #40, Blue #1, Natural Hardwood Smoke.","Try it with cream cheese and tomato on a toasted bagel half. Or chop the salmon and saute with onions and peppers in a great savory omelet. Experiment as an ingredient in appetizer dips or cream pasta dishes. Our certified kosher smoked wild caught nova salmon is always delicious no matter how you choose to use it!,Important: Must be keep refrigerated at or below 38 degrees F.","Allergens: contains fish, fd&c yellow #5.",,,,,,
Cod Alaskan Fillet Previously Frozen,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4ca2811-c35f-4aa7-b80c-f549c8052748.jpg 4x,,,,,,,,,,,,
Mowi Atlantic Salmon Portion Garlic Herb Butter,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0732b21d-f441-4b0d-8677-34958e162b80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d74b6d30-ae02-470a-abf2-28da662c26b0.jpg 4x",,,MOWI Atlantic Salmon is produced with the highest standards. One delectable MOWI Atlantic Salmon Portion 12oz – Garlic Herb Butter is conveniently packaged for an effortless cooking experience.,,,,,,,,,
Boss Crab Meat Special,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84a91087-f29c-44bc-9e0f-8bff8ac08665.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc3367cb-34f8-4ab0-aff9-ba2a9c3bfd8e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_60ba83b5-eb88-4b9c-8ca0-b27d12f1a36d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9282a5c0-4bf1-423e-b4ee-982cc9ff5672.png 4x",,,"Boss Crab Meat Special. This product is 100% wild caught crab picked from blue swimming crab (portunus pelagicus) crabs are steamed, handpicked, graded, sealed and pasteurized for excellent quality and flavor. It is processed in the highest quality controlled plants. Contains sodium acid pyrophosphates (SAPP) to retain color.",Crab Meat.,Keep refrigerated.,May contain small shell fragments.,,,,,,
"Mowi Family Pack, Atlantic Salmon",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_118b5bfc-c12c-4307-9be0-f866289f8c0b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_194be9c2-6405-4656-b219-f9785f38d1bf.jpg 4x",,,"MOWI Atlantic Salmon is produced with the highest standards. MOWI Atlantic Salmon 6x5oz is conveniently packaged for an effortless cooking experience. Add a personal touch with your favorite marinade or seasoning blend, or simply season with salt, pepper, and a drizzle of olive oil to savor the flavor of Atlantic Salmon.","Atlantic Salmon (salmo Salar) Color Added Through Feed,",,Contains: salmon (fish).,,,,,,
Mowi Atlantic Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8126fd0-c6c8-4bbf-9ca3-98ff558e3948.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f278db6-18a6-4edf-82f0-9473615ce507.jpg 4x",,,"MOWI Atlantic Salmon is produced with the highest standards. It meets BAP certification for environmental responsibility, animal health & welfare, social accountability, food safety and traceability. One delectable MOWI Atlantic Salmon 6oz portion is conveniently packaged for an effortless cooking experience. Add a personal touch with your favorite marinade or seasoning blend, or simply season with salt, pepper, and a drizzle of olive oil to savor the mild flavor of Atlantic Salmon.","Atlantic Salmon (salmo Salar), Color Added Through Feed.","Cooking Instructions: Remove all packaging. Bake: Preheat oven to 400 degrees F. Bake on an oiled baking sheet, skin-side down for 20 minutes. Air Fry: Cook at 400 degrees F skin-side down for 12 minutes on an oiled air fryer rack. Pan Fry: Oil a non-stick skillet and cook at medium heat skin-side down for 5 minutes. Flip the salmon and cook another 5 minutes. Cook to an internal temperature of 145 degrees F. Appliances may vary. Adjust cooking times as necessary.,Keep refrigerated.",Contains: salmon (fish). May contain bones.,,,,,,
"Waterfront Bistro Mussels, In Tomato & Garlic Butter Sauce",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e3ca2e83-db0c-4a81-9694-a0ca0d44e602.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_473130e0-ba96-439a-9e4d-112f7bd574d6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_651cbe09-7f4e-4143-ae61-953eab881218.png 4x",,,"Waterfront. Estd 2009. Ready in minutes. Deliciously Easy: Welcome to Waterfront Bistro, where bistro quality seafood dishes are yours for the making. Our delicious variety of responsibly sourced offerings and easy go-to recipes are sure to inspire irresistible seafood meals any day of the week. Responsible choice. Responsible choices made easy. Our leading sourcing standards help maintain sustainable seafood populations and ecosystems today and for future generations. It's not just a logo, it's our commitment.","Mussels (mytilus Chilensis), Tomato Paste, Tomatoes, Butter, Sugar, Garlic Paste, Basil, Parsley.","Heating Instructions: Always heat from frozen. Unopened or partially open mussels are safe to eat. Some may not open due to strong adductor muscle. Stovetop: Empty contents of pouch into a saucepan and cover. Heat on high for 4-5 minutes. Reduce heat and simmer for 2-3 minutes, stirring occasionally. Microwave: Place pouch on a microwaveable plate, pierce upper side and heat on high for 5-7 minutes. Allow to stand for 1 minute. Open with care and serve. Or: Empty contents of pouch into a microwaveable dish, cover and heat on high for 5-7 minutes. Mix and serve.,Perishable keep frozen. Do not refreeze fully cooked.",Contains: milk.,,,,,,
"Foppen Norwegian Smoked Salmon Slices, 12 oz",,$16.91," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5d2dae2-a49e-4eb1-a641-059f3cf500f5.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a970a39e-7323-4684-8e24-ca938860c14a.jpeg 4x",Gluten Free,,,"Atlantic Salmon 95.1% (salmo Salar), Salt, Distilled Vinegar Powder, Fish Gelatin 0.1% (cod, Pollock And/or Haddock), Transglutaminase, Dill, Black Pepper, Paprika, Parsley, Smoke. Color Added. Fish Gelatin / Transglutaminase: A Firming Agent Which Is Created From Cod, Pollock And/or Haddock. Honey-mustard-dill Sauce: Water, Vinegar, Sugar, Honey, Rapeseed Oil, Modified Corn Starch, Mustardflour, Salt, Dill, Thickener: Xanthan Gum, Preservative: Potassium Sorbate, Spices, Natural Mustard Flavor, Carrot-extract.",,,,,,,,
Blue Hill Bay Smoked Wild Alaskan Coho Salmon,,$15.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a780c62-bbfa-4c03-8e7f-9222aca01b0e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27fc8d39-db82-40cd-ad8c-befb27c753bc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73d34d18-b3b4-4c3e-9eb2-3aa49836eba8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6fad0ee-3b75-4408-adbd-5d7d3b4f32e6.png 4x",Gluten Free,,Blue Hill Bay Smoked Wild Alaskan Coho Salmon. It's all natural. There are no preservatives. Contains omega-3 fatty acids. Free from gluten.,"Coho Salmon, Salt, Natural Green Tea Extract, Celery Extract, And Natural Hardwood Smoke.","Handling instructions: Must keep refrigerated at 38 degrees F or below. Smoked salmon can also be kept frozen for extended shelf life. If frozen, it must be thawed under refrigeration. Best if used within 5 days of opening. This product is ready to eat. Avoid cross-contamination by keeping this product separate from raw foods.",May contain bones.,,,,,,
"Open Nature Sockeye Salmon, Wild Caught",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c37a9062-7cf9-40fd-b4a6-fc1f47f0c044.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6c328f67-fb8c-46af-8275-a414b92521cd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6cf03074-889d-4d2c-baee-e5b58b4c7f02.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be445484-78f0-476a-8a21-0ccde9190f88.png 4x",,,Per 5 oz Serving: 186 calories (6% DV); 111 mg sodium (5% DV); 0 g total sugars. Ready to cook. No preservatives. how2recycle.info. SmartLabel: Scan for more food information. Responsible choice. Produce of USA.,Sockeye Salmon (onorhynchus Nerka).,"Cook thoroughly. Grill or boil 4-6 minutes per side. (Saute or pan fry 4-6 minutes per side). (Cooking times will vary according to thickness of fish). Cook thoroughly to a minimum internal temperature of 145 degrees F as measured by a food thermometer. Caution: We strive to produce a fully boneless product. As with a fist, however, occasional bones may still be present.,Perishable. Keep refrigerated. Do not refreeze.",Contains: fish (sockeye salmon).,,,,,,
"Louis Kemp Crab Delights Crab Delights, Leg Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ca17056-2f83-4f4a-abb1-7dc6bf6dfd33.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6457ddea-d74e-42ae-bc6f-20f9d7e6eb9f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9036716-d0ae-4bf0-8e00-919207955eff.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27801589-39f4-4f48-b4bd-49ae88a3ab62.png 4x",,,,"Alaska Pollock, Water, Potato Starch, Corn Starch, Sugar, Sorbitol, Egg Whites, Contains 2% Or Less Of: Snow Crab Meat, Mirin Wine (sake, Sugar, Salt, Water, Yeast Extract), Potassium Chloride, Salt, Artificial Crab Flavor, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Color Added, Carmine, Paprika Oleoresin.","Keep refrigerated at 32 degrees - 38 degrees F. Do not refreeze.,Once opened, use within 3 days.","Contains: fish (alaska pollock), egg, crustacean shellfish (snow crab).",,,,,,
Fresh Wild Pacific Rockfish Fillet,$4.77,$6.13, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48c48f52-b9bc-4da7-afec-17b09fc6bffc.jpeg 4x,,,,,,,,,,,,
"Ruby Bay Salmon, Smoked, Nova",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f6dd8906-24d3-43b3-a568-79744c6f2016.png 4x,,,"Smoked seafood. Pre-sliced. Ready to eat. Naturally smoked. Specially selected ingredients. Smaller packaging, less plastic. Better for nature and the fish we love. Our newly redesigned packaging is smaller and uses less plastic to reduce our environmental impact and keep our oceans clean. Premium smoked fish & more. The Ruby Bay line blends traditional methods perfected over decades with innovative flavors, presentations, and techniques. The end result, is a line of products that exceeds the expectations of the toughest critics. Keta Yukon candy; flavored smoked salmon pastrami style; king salmon jerky; wild smoked salmon. At Ruby Bay, the key to our success lies in the artisans who produce this product. For recipes or to learn more about the quality and variety of our innovative Ruby Bay product line visit us online. www.rubybayseafood.com. www.acmesmokedfish.com.","Salmon, Salt, Sugar, Natural Green Tea Extract, Nisin, Sodium Nitrite, and Natural Hardwood Smoke.","For the best taste, remove product from package and allow it to sit at room temperature for a few minutes before serving. Keep refrigerated at 38 degrees F or below. Best if used within 5 days.",May contain bones.,,,,,,
Raw White Deveined Shrimp,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b162dc20-785d-421f-9eb7-b7b1ef7956f6.jpg 4x,,,,,,,,,,,,
"Spence & Co., Ltd. Salmon, Smoked, Classic",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c52f3c0-8739-4e9f-9e19-fc8b871dd582.png 4x,,,"Rich in omega 3. Sliced and ready to eat. Emulating the past to preserve the future. Alan Spence founded the company in the USA in the late 1980's, having perfected the art of smoking in his native Scotland. Appreciating the nuances and techniques of the best domestic producers, he has melded the qualities to produce the true classic. Our Classic Smoked Salmon will beguile you with its refined flavors and intrigue you with subtle character. This product is produced from the finest quality fresh, never frozen salmon. www.spenceltd.com. Synthesized carotenoids are added to the feed of this farmed salmonoid to achieve the color that wild salmonoids develop from eating carotenoids found in their natural diet. Made in the USA.","Atlantic Salmon, Salt, Hardwood Smoke.",Keep refrigerated 32-38 degrees F. Remove from the refrigerator 1 hour before use. Puncture the package to release the vacuum and bring to room temperature. Product can be frozen. Consume within one month of freezing. Defrost under refrigeration and use the same day. Do not refreeze.,,,,,,,
Great American Seafood Imports 31/40 Peel & Deveined Raw Shrimp,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d144141c-0fe7-4300-bab5-78a45420ecf5.jpg 4x,,,,,,,,,,,,
Echo Falls Mexican Chili Lime Oak Smoked Atlantic Salmon,,$21.69,,,,,,,,,,,,,
"Cristobal Cod, Salted, Fillets",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c8f80c3-16cc-4c80-9343-ee34aaf99c78.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_512b8bb2-e9d0-4be6-8a5c-c909e7c8daa9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8714490c-3007-46d8-9aef-192078feb9eb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a818b67-e51f-4c0e-9a4f-061333035f77.png 4x",,,"Wild caught. Choice boned. www.cfeboston.com. For info & recipes, visit us at: www.cfeboston.com. Product of Canada.","Cod, Salt.","Preparation: In a refrigerator, soak 1 lb (454 g) of salted fish in 6 cups (1.5 liters) of fresh water for 24 hours, changing the water three times. Longer soaking or more frequent changing of water will further decrease the salt content. Cook according to your favorite recipe. Store in refrigerator.",,,,,,,
21 To 25 Count Previously Frozen Tail On Cooked Shrimp,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c95e4ed-e686-4b08-8bbe-4404e7469be0.jpg 4x,,,,,,,,,,,,
SEAFOOD Codfish Bacalao,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4b3712d-c40f-4be4-bdf2-2b283f8c6c7e.jpg 4x,,,,"Cod, Salt.",,,,,,,,
"PanaPesca Octopus Tentacles, Blanched",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_603c64bb-5d88-4d24-ba6e-2431384dd0e9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_92b3d5a1-97f0-4268-80f9-29310f2ecaa8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df141432-c907-404e-a44d-4b7d19c7c2b6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ec20fd5d-38d4-47a0-a701-c898ce73c01c.png 4x",,,PanaPesca: Applying the Science of Quality. Wild product of Thailand.,Octopus Tentacles,"Keep frozen until use. Keep frozen, thaw under refrigeration before use, do not refreeze.","Contains: octopus., CA Prop 65 Warning: Reproductive harm - www.P65Warnings.ca.gov/food., Caution: May contain shell fragments.",,,,,,
"Open Nature Alaskan Cod, Wild Caught",,$12.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5860c7fb-6ecc-49a2-ac4e-9c76ae0db317.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a6f193b9-28da-46d3-b40a-8f4cea8bf557.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16773531-c25c-47b1-9f4d-f89f4e544ee0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87f380d1-c97a-48b4-a812-fc48555526bc.png 4x",,,Per 5 Oz Serving: 100 calories; 0 g sat fat (0% DV); 99 mg sodium (5% DV); 0 g total sugars. Ready to cook. No preservatives. Quality Satisfaction: 100% guaranteed or your money back. how2recycle.info. SmartLabel: Scan for more food information. Responsible choice. Produce of USA.,Pacific Cod (gadus Macrocephalus).,"Cook thoroughly. Grill or broil 4-6 minutes per side. (Saute or pan fry 4-6 minutes per side). (Cooking times will vary according to thickness of fish). Cook thoroughly to a minimum internal temperature of 145 degrees F as measured by a food thermometer.,Perishable. Keep refrigerated. Do not refreeze.","Contains: fish (pacific cod). Caution: we strive to produce a fully ""boneless"" product. As with a fish, however, occasional bones may still be present.",,,,,,
Blue Hill Bay Smoked Wild Alaskan Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06b847ab-db48-46e3-9709-9e12f18881c3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_072d04eb-38b3-4e98-8a62-58bb23924938.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b84663d8-7148-44b0-acdc-22dc4d1f887f.png 4x",,,"Blue Hill Bay By Acme Smoked Fish. Fully cooked. Ready to eat. Signature line. Blue Hill Bay, Acme's signature line of premium smoked fish products, is an homage to flour generations of proud acme family, Brooklyn tradition, since its inception in 2000, the acclaimed Blue Hill Bay Line follows traditional European curing and smoking methods using only the freshest fish available and the finest natural ingredients. Astaxanthin is a carotenoid used in the feed of farm raised Atlantic salmon; it is in the same family as Vitamin A. Carotenoids are part of the natural diet consumed by salmon in the wild and give salmon its distinctive color.,• No Preservatives/No Artificial Preservatives,• Gluten Free,• Kosher","Salmon, Salt, Garlic Powder, Clove, Spices, and Natural Hardwood Smoke.","Serving Suggestions: For the best taste, remove smoked fish from the package and allow it to sit at room temperature for a few minutes before serving.,Keep refrigerated at 38 degrees F or below. Handling Instructions: This product is ready-to-eat. Best if used within 5 days of opening. Must keep refrigerated at 38 degrees F or below. Smoked fish can also be kept frozen for extended shelf life. If frozen, it must be thawed under refrigeration. Avoid cross-contamination by keeping this product separate from raw foods.,Peel here.","Contains: Salmon (fish). , May contains bones.",,,,,,
Latitude 45 Hot Smoked Atlantic Salmon Trio Pack,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e18c21a-e862-4c7a-a17a-a529b6c6b03b.png 4x,,,,,,,,,,,,
Merex Alaskan Pollock Fillet,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_55163cad-518a-40eb-af42-fb42c094c537.jpg 4x,,,,"Alaska Pollock, Salt.",,,,,,,,
Farmed Fresh Barbecue Shell Oysters,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c46309c-a648-4cc6-a3c8-8148131786e0.jpg 4x,,,,,,,,,,,,
Heron Point Seafood Special Crab Meat,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c2c8a3d-a427-4899-bd71-08d9fbb6d658.png 4x,,,Heron Point Seafood Special Crab Meat.,"Blue Swimming Crab Meat, Sodium Acid Pyrophosphate (sapp) Added To Retain Color.",Keep refrigerated. Perishable. Do not freeze. Examine and remove any shell before using.,,,,,,,
