Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Egg Free,Soy Free,Peanut Free,Treenut Free,Shellfish Free,Wheat Free,Milk Free
Chobani Cookie Dough Flip Greek Yogurt,$1.67,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b969d4cc-9907-42ba-8542-279e08a59fcf.png 4x,,,"Vanilla Chobani® Greek Yogurt with cookie dough pieces, cookie rice crisps, and milk chocolate chips. Satisfy cravings with indulgent Chobani Flip cups that combine creamy Chobani yogurt with crunchy, natural mix-ins. Chobani Flip cups are perfectly portioned and ready to be enjoyed as an easy high-protein breakfast, snack, or treat. Throw a Chobani Flip into your lunch bag for a deliciously convenient side for school, work or on-the-go days. Chobani Flip cups are full of fun and full of real flavor made with only natural-non GMO ingredients and no artificial flavors or preservatives.,• Good source of protein,• Includes live & active cultures, and three types of probiotics,• No modified cornstarch or high fructose corn syrup,• Less than 5% lactose - a perfect part of a very low lactose diet,• Less than 5% lactose—a perfect part of a very low lactose diet","Cultured Lowfat Milk, Cane Sugar, Water, Wheat Flour, Chocolate, Brown Sugar, Cocoa Butter, Tapioca Flour, Palm Oil, Milk, Natural Flavors, Wheat Germ, Guar Gum, Fruit Pectin, Wheat Bran, Salt, Soy Lecithin, Honey, Lemon Juice Concentrate, Vanilla Extract, Baking Soda",Keep refrigerated.,"Contains milk, wheat, and soy.,manufactured on a line that also handles peanuts and tree nuts.",,,,,,,
Chobani No Fat Strawberry Greek Yogurt,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6690fc8-3103-4244-8c71-ad3cba85c2fe.png 4x,Gluten Free,,"The best strawberry you ever tasted was a strawberry. A real strawberry. Red and tasty gift of nature. Maybe you picked it yourself, a little bit of summer in your hand. Maybe the whole hot field smelled like jam. Where it was, wherever you tasted it, it was a strawberry, and it was the best one. And that's why our strawberry yogurt is made with real strawberries.","Cultured Nonfat Milk, Cane Sugar, Strawberries, Water, Natural Flavors, Fruit Pectin, Guar Gum, Fruit And Vegetable Juice Concentrate (for Color), Lemon Juice Concentrate, Locust Bean Gum",Keep refrigerated.,,,,,,,,
Philadelphia Original Cream Cheese Spread,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf29825f-18d5-4fdf-97a8-07b6567750b3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afc4c224-570d-469f-a4dd-8721186a3e59.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74360737-42e4-45e1-928b-169404d18c2d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03837311-34fd-4589-a9d4-ce8854afc8e8.jpg 4x",,,"Dive into immersive pleasure with Philadelphia Original Cream Cheese Spread. Made with fresh milk and real cream for an extra creamy, multi-dimensional taste you can add to any meal. At Philly, we leave out the artificial preservatives, flavors and dyes to ensure a rich, quality flavor. Our original cream cheese spread is easy to spread, making it the perfect choice for adding to your morning bagel, crafting sushi rolls or preparing pinwheel sandwiches. Keep our 16 ounce resealable container of cream cheese spread refrigerated. With Philadelphia Cream Cheese Spread, enjoy a rich, creamy experience you don't just taste, you feel.,• One 16 oz tub of Philadelphia Original Cream Cheese Spread,• Dive into immersive pleasure with our original cream cheese spread,• Our cream cheese spread is made with fresh milk and real cream for a rich, creamy experience you don't just taste, you feel,• Philadelphia stays charmingly real with no artificial preservatives, flavors or dyes,• Easy to spread cream cheese spread creates smooth satisfaction,• Creamy and delicious, Philly cream cheese spread is perfect to spread on bagels or enjoy with any of your favorite breakfast foods,• Packaged in a resealable tub to maintain a rich, dynamic taste,• Kosher,• SNAP & EBT eligible food item","Pasteurized Milk And Cream, Whey Protein Concentrate, Whey, Salt, Carob Bean Gum, Natamycin (a Natural Mold Inhibitor), Vitamin A Palmitate, Cheese Culture","Keep Refrigerated.,For Best Quality, Use With In 10 Days.",Contains: milk.,,,,,,,
Chobani Mango Greek Yogurt,$1.67,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ae3db84-1fcb-485e-be74-5691f6225c8f.png 4x,Gluten Free,,We have been on a mission since day one: to provide better food for more people.,"Cultured Reduced Fat Milk, Mangoes, Cane Sugar, Water, Fruit Pectin, Natural Flavors, Guar Gum, Locust Bean Gum, Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
FAGE Lowfat 2% Plain Greek Yogurt,$6.99,$7.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_652f71cb-dabb-4725-af64-7b300a8702a3.png 4x,Gluten Free,,"61% less fat than our 5% milkfat yogurt (per 170 g). Protein-rich. Good source of calcium. Vegetarian friendly. Fat content reduced from 9 g to 3.5 g per 170 g. Pronounced: Fa-Yeh! Fage Total 2% Greek Strained Yogurt: All natural; made with only milk and yogurt cultures; additive and preservative free; milk from non-GMO fed cows. Milk produced without the use of rBST. The FDA has said no significant difference has been shown, and no test can now distinguish, between milk derived from rBST treated and untreated cows.","Grade A Pasteurized Skimmed Milk And Cream, Live Active Yogurt Cultures (l. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei).","Keep refrigerated. Do not freeze.,Remove parchment paper on opening.,Once opened consume within 5 days. Use by date on lid.",Do not freeze.,,,,,,,
Blue Diamond Unsweet Orig Almond Breeze,,$3.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fca23c39-662f-42ac-94db-25a2255a6aed.png 4x,Gluten Free,,"Almond Breeze non-dairy almondmilk is delicious in everything, from cereals and smoothies to cooking and baking. Browse our variety of almondmilk including sweetened and unsweetened flavors.,• Made with real California almonds,• Free from Dairy, Soy and Lactose,• Excellent source of vitamins D & E,• 50% More Calcium than Milk,• Non-GMO Project Verified","Almondmilk (filtered Water, Almonds), Calcium Carbonate, Sea Salt, Potassium Citrate, Sunflower Lecithin, Gellan Gum, Natural Flavors, D-alpha-tocopherol (natural Vitamin E).",Shake well. Serve chilled.,Contains: almonds.,,,,,,,
Chobani Low-Fat 2% Vanilla Greek Yogurt With Mixed Berry,,$5.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_21ff60c4-34e6-4f0d-8a79-b95fbe2abdf3.png 4x,Gluten Free,,"Vanilla Greek yogurt mixed berry on the bottom. Low fat. No gluten. 2% milkfat Protein rich. No GMO ingredients. Only natural ingredients. No artificial flavors or sweeteners, no preservatives, no fake fruit, no gluten, no rBST (Milk from rBST-treated cows is not significantly different). Grade A. chobani.com. how2recycle.info. Question or comments? 1.877.847.6181. Operation Homefront: Hero Batch: In partnership with Operation Homefront, we've raised over $2 million to support America's military families. Through our partnership with Operation Homefront, we are proud to support their mission to serve America's military families. Together, we've raised over $2 million to help our communities. To learn more, visit chobani.com/herobatch. Certified 100% recycled paperboard.","Cultured Lowfat Milk, Water, Cane Sugar, Fruit Puree Blend (strawberry, Blueberry, Blackberry, Raspberry), Fruit Pectin, Natural Flavors, Vanilla Extract, Locust Bean Gum, Lemon Juice Concentrate, Fruit And Vegetable Juice Concentrate (for Color), Guar Gum",Keep refrigerated.,,,,,,,,
Kraft American Cheese Slices,,$9.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a578fa84-d0ae-443f-a12b-3d878b873672.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_83253f23-392c-45ce-889c-5bc6aeb408a0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_289a3021-e746-4701-914a-052c01de46e4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ff914e7f-c2bf-4f64-92ea-799841b0d19b.jpg 4x",,,"Bring on the bold. Kraft Deli Deluxe American Cheese Slices elevate your favorite foods with big cheese energy. Try our slices on sandwiches, burgers, grilled cheeses and more. Sliced American cheese has a mild, slightly tangy flavor and smooth texture that goes well with meat and vegetable dishes, hot and cold. Pre-sliced for your convenience, our deli-style American cheese is perfect for layering on a classic sandwich, building a better burger or snacking straight from the package with resealable packaging to stay fresh. Kraft Deli Deluxe American cheese is made with quality ingredients for full flavor and consistency. These slices contain 20% of your daily value of calcium per serving. See nutrition information for fat, saturated fat and sodium content. Make every burger bold with melt-in-your-mouth flavor or top any sandwich for a perfect melt. Each 16-ounce package of 24 tasty slices is resealable to help lock in the flavor and freshness of our quality American cheese. Keep each package refrigerated until ready to enjoy.,• One 16 oz pack of 24 Kraft Deli Deluxe American Cheese Slices,• Kraft Deli Deluxe American Cheese Slices elevate your favorite foods like sandwiches, burgers, grilled cheese, hot dishes and more,• Made with real dairy,• Our yellow American cheese is slightly tangy and creamy,• Great for grilling season, our sliced cheese cuts prep time and melts easily over hot foods,• Resealable package helps lock in flavor and freshness; keep refrigerated,• SNAP EBT Eligible; WIC eligible in certain states","American Cheese (cultured Milk, Salt, Enzymes), Water, Milkfat, Sodium Citrate, Calcium Phosphate, Salt, Sodium Phosphate, Sorbic Acid As A Preservative, Oleoresin Paprika (color), Annatto (color), With Sunflower Lecithin Added For Slice Separation.","Tear Along Dotted Line.,Pull Zipper Apart To Open.,Press To Close.,Keep Refrigerated.,Do Not Freeze.",Contains: milk.,,,,,,,
Kerrygold Unsalted Pure Irish Butter,,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3fce954-e7f3-4084-b723-4c07b89b6ef7.png 4x,,,"All Natural, Made with Milk from Irish Grass Fed Cows","Pasteurized Cream, Skimmed Milk, Cultures",[Perishable. Keep refrigerated.],Contains: milk.,,,,,,,
"Daisy Cottage Cheese, Small Curd, 4% Milkfat Minimum",$2.89,$4.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6acc5bf4-fa40-4023-8c35-320b77e1a8b8.jpeg 4x,,,"Discover why Daisy is America’s #1 cottage cheese. Protein packed and specially made with only 3 ingredients, and live and active cultures, to deliver that fresh and creamy taste in every bite. There's a reason why only Daisy cottage cheese will do!Daisy's classic, rich and creamy taste defines cottage cheese as it should be. A healthy and filling choice any time of the day, eaten straight out of the tub, or paired with your favorite fresh fruits and vegetables. Sprinkle with granola and top with berries for a tasty treat, or toss with fresh avocado and tomato with a dash of fresh-ground black pepper for a more savory snack. Enjoy creamy and delightfully delicious Daisy Cottage Cheese and discover why only Daisy Cottage Cheese will do!,• Protein Packed,• Only 3 ingredients: cultured skim milk, cream, and salt,• Contains live and active cultures,• Low carb and low sugar,• Pure & Natural,• rBST Free,• Grade A milk,• Kosher","Cultured Skim Milk, Cream, Salt.",Keep refrigerated. Do not freeze.,Contains milk,,,,,,,
"YoCrunch Low Fat Vanilla Yogurt with OREO(R) Cookie Pieces, 4 oz, 4 Pack",,$5.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6b243dd-a2c3-4999-a42b-fa611bca2638.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b271cb7f-4117-4add-a71f-03b0191c2bf3.jpg 4x",,,"Add some crunch with a 4-pack of YoCrunch(R) Vanilla Lowfat Yogurt with OREO(R)* cookie pieces. This lowfat vanilla yogurt is deliciously smooth and creamy. Best of all, it comes with OREO(R)* cookie as a topping so you can add a fun crunch to every bite. At YoCrunch, we’ll never stop cranking up every basement and basic hang with some yogurt goodness and a whole lotta crunched up, over-the-top fun. Our lowfat yogurt comes in single serve yogurt cups, pairing tasty flavors with delicious toppings for a pre-portioned, off-the-charts yummy treat. With calcium and vitamin D, these fun, sweet snacks offer the goodness of yogurt with crunchy cookie pieces your family will love. YoCrunch puts snack time in your control. Grab a yogurt cup and sprinkle your desired amount of toppings, save them for last, or mix 'em all in for maximum crunch. Pack as a snack for school or road trips. Enjoy them as snacks to go during busy days or for a fun mid-day break. Available in a wide range of flavors and toppings, YoCrunch offers a fun snacking experience. Mix it up with YoCrunch Vanilla Lowfat Yogurt with OREO(R)* cookie pieces. *OREO(R) and the OREO(R) Wafer Design are trademarks of Mondelez International group, used under license.","Lowfat Yogurt: Cultured Pasteurized Grade A Lowfat Milk, Water, Sugar, Modified Corn Starch, Contains Less Than 1% Of Natural Flavors, Vitamin D3, Oreo® Cookie Pieces: Unbleached Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [vitamin B1], Riboflavin [vitamin B2], Folic Acid), Sugar, Palm Oil, Soybean And/or Canola Oil, Cocoa (processed With Alkali), Invert Sugar, Leavening (baking Soda And/or Calcium Phosphate), Soy Lecithin, Salt, Chocolate, Natural Flavor",Keep refreigerated.,"Contains milk, wheat and soy. May contain peanuts, tree nuts and eggs.",,,,,,,
Planet Oat Original Oatmilk,$4.59,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b261f8f4-ed76-477a-a6bf-7fb44f2e16d0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_50475850-42e9-402b-abcd-263785e680db.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f9c7248-1b5d-405f-b1fc-d898f080094c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b2bd610-ffb0-4bfc-b1fb-c07d6cfe2b04.jpg 4x","Gluten Free,Peanut Free,Soy Free,Treenut Free",,"The one that started it all! Rich, creamy, and just a bit sweet, Planet Oat Original Oatmilk is a delicious choice to be enjoyed in coffee, cereal, your favorite recipes, or simply by the glass. Free From: Dairy, Lactose, Gluten, Soy, Peanuts, & Tree Nuts, and an Excellent Source of Calcium and Vitamins A & D.,• Free From: Dairy, Lactose, Gluten, Soy, Peanuts, & Tree Nuts,• Subtly sweet and full-bodied,• Just as delicious in coffee, cereal, and smoothies as it is by-the-glass,• An Excellent Source of Calcium and Vitamins A & D,• Free from artificial colors, flavors, and preservatives,• Non-GMO Project Verified","Oatmilk (filtered Water, Oats), Calcium Carbonate, Dipotassium Phosphate (stabilizer), Sea Salt, Gellan Gum, Vitamin A Palmitate, Vitamin D2, Riboflavin (vitamin B2) And Vitamin B12.",Shake well.,Do not use if seal under cap is missing. Not to be used as an infant formula.,,,,,,,
Kerrygold Grass-Fed Salted Butter Sticks,,$7.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_db6bd7c0-37f9-443f-a45e-09896ea27a43.jpeg 4x,,,"All Natural, Made with Milk from Irish Grass Fed Cows","Pasteurized Cream, Salt",[Perishable. Keep refrigerated.],Contains: milk.,,,,,,,
Coffee mate Hazelnut Flavored Coffee Creamer,,$11.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5c476b8-eced-4875-9d73-4b95c39234d6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c80c6f7-54c0-4ad4-b45b-89ccabcb85f5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e48d71fd-4de5-46b1-87ad-9a211a397260.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1eda59f0-e7cd-43cc-87d1-b42ec2d787a4.jpg 4x",Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee mate Hazelnut Flavored Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY NON-DAIRY AND GLUTEN-FREE: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free, and non-dairy flavored creamer for coffee,• HOT, ICED, OR MIXED: Our liquid creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass, any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee mate. Make your coffee goals a reality with our Hazelnut flavored creamer,• KEEP IT CHILL: Keep your Coffee mate creamer chilled for that perfect Hazelnut flavor. Pop it in the fridge after opening and use your creamer within 14 days, if it even lasts that long,• VERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our Hazelnut flavored creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate Hazelnut Flavored Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To One Hundred And Twenty-Six 1 Tbsp Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Preferences? We Have Those Covered Too – Our Coffee Mate Liquid Creamer Is Non-Dairy, Cholesterol-Free, And Gluten-Free. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your Hazelnut Flavored Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our Hazelnut Flavored Creamer Yet?","Water, Sugar, Vegetable Oil (high Oleic Soybean And/or High Oleic Canola), And Less Than 2% Of Micellar Casein (a Milk Derivative)**, Monoand Diglycerides, Dipotassium Phosphate, Natural And Artificial Flavor, Cellulose Gel, Cellulose Gum, Carrageenan.","Shake before use.,Storage Advice: Keep refrigerated. Do not freeze.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
"Oikos Triple Zero Vanilla Nonfat Greek Yogurt Pack, 0% Fat, 0g Added Sugar and 0 Artificial Sweeteners, Just Delicious High Protein Yogurt, 4 Ct, 5.3 OZ Cups",$5.79,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfe32f97-e515-4565-8f59-8763c4702d05.jpg 4x,Gluten Free,,"Enjoy epic tastes with Oikos Triple Zero Nonfat Vanilla Greek Yogurt Pack, four delicious nonfat Greek yogurt cups with more of what you want and less of what you don’t. Each Oikos Triple Zero yogurt cup contains 0% fat, 0g added sugar* per 5.3 oz serving and 0 artificial sweeteners. Our vanilla flavored Greek yogurt packs a punch with 15 grams of protein per serving, so you can always have dependable, high protein snacks with zero holding you back. Because when you feel strong, you are unstoppable. With protein and deliciousness, this Greek nonfat yogurt can help you strive to reach your potential with every serving. Pack a yogurt Greek cup for days that start at a sprint and enjoy a delicious boost of protein at lunch. Or throw in your favorite fruit or toppings for an extra refreshing snack. For even more reasons to go Greek, try Oikos Pro snack cups with 20g of protein per serving or Oikos Blended with chunks of real fruit. Oikos Greek yogurt — Stronger Makes Everything Better (R). *Not a low-calorie food.","Cultured Grade A Non Fat Milk, Water, Natural Flavors, Contains Less Than 1% Of Tapioca Starch, Stevia Leaf Extract, Lemon Juice Concentrate, Sea Salt, Vitamin D₃, Yogurt Cultures: S. Thermophilus And L. Bulgaricus",Ready To Eat,,,,,,,,
Lifeway Lowfat Plain Kefir,$4.49,$5.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2daba9b-8101-48f6-b10f-ba447cfc2f6a.png 4x,Gluten Free,,"Lowfat Plain Kefir 32oz,• Probiotic,• Gluten free,• Lactose Intolerance Friendly,• Good source of protein and calcium,• Hormone Free/No Hormones/No Added Hormones/No Synthetic Hormones,• BPA Free","Pasteurized Lowfat Milk, Nonfat Milk, Pectin, Vitamin A Palmitate, Vitamin D3, Live And Active Cultures","For best taste shake well.,Keep refrigerated.,Fermentation keeps the kefir fresh until the expiration date stamped on the bottle, regardless of when you open it.",Contains: milk.,,,,,,,
Coffee mate Original Flavored Coffee Creamer,,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c04d328f-751d-4efa-85dc-baa978aad802.jpeg 4x,Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee mate Original Flavored Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY NON-DAIRY AND GLUTEN-FREE: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free, and non-dairy flavored creamer for coffee,• HOT, ICED, OR MIXED: Our liquid creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass, any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee mate. Make your coffee goals a reality with our Original flavored creamer,• KEEP IT CHILL: Keep your Coffee mate creamer chilled for that perfect Original flavor. Pop it in the fridge after opening and use your creamer within 14 days, if it even lasts that long,• EVERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our Original flavored creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate Original Flavored Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To Sixty-Three 1 Tbsp Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Preferences? We Have Those Covered Too – Our Coffee Mate Liquid Creamer Is Non-Dairy, Cholesterol-Free, And Gluten-Free. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your Original Flavored Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our Original Flavored Creamer Yet?","Water, Corn Syrup Solids, Vegetable Oil (high Oleic Soybean And/or High Oleic Canola), And Less Than 2% Of Micellar Casein (a Milk Derivative)**, Mono- And Diglycerides, Dipotassium Phosphate, Natural Flavor, Carrageenan.","Shake before use.,Try in iced coffee.,Do not freeze. Storage Advice: Keep refrigerated.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
Coffee mate Coconut Crme Flavored Coffee Creamer,$4.09,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d4767e2-e0f3-432b-b643-756e3a7ec2fd.jpeg 4x,Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee Mate Coconut Crème Flavored Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY NON-DAIRY AND GLUTEN-FREE: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free, and non-dairy flavored creamer for coffee,• HOT, ICED, OR MIXED: Our liquid creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass, any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee Mate. Make your coffee goals a reality with our coconut flavored creamer,• KEEP IT CHILL: Keep your Coffee Mate creamer chilled for that perfect coconut flavor. Pop it in the fridge after opening and use your creamer within 14 days, if it even lasts that long,• EVERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our coconut flavored creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate Coconut Crème Flavored Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To Sixty-Three 1 Tbsp Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Restrictions? We Have Those Covered – Our Coffee Mate Liquid Creamer Is Non-Dairy, Cholesterol-Free, And Gluten-Free. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your Coconut Flavored Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our Coconut Flavored Creamer Yet?","Water, Sugar, Soybean Oil, And Less Than 2% Of Micellar Casein (a Milk Derivative), Mono- And Diglycerides, Dipotassium Phosphate, Natural And Artificial Flavor, Cellulose Gel, Cellulose Gum, Carrageenan.","Shake before use.,Try in iced coffee.,Storage Advice: Keep refrigerated. Do not freeze.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
"Dannon Light + Fit Dannon Light + Fit Greek Vanilla Fat Free Yogurt, Creamy and Delicious Gluten Free Yogurt, 4 Ct, 5.3 OZ Yogurt Cups",$5.79,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_faf71640-34b7-492b-87cd-54133d22306a.jpg 4x,Gluten Free,,"Looking for a delicious fat free yogurt with crave-able vanilla flavor? Give your taste buds a reason to rejoice with a four-pack of Dannon Light + Fit Vanilla Greek Fat Free Yogurt Cups. Every bite of this vanilla flavored yogurt makes it easy to enjoy fat free snacks with this delicious light yogurt brand.* At Light + Fit, our goal is to help you do you while balancing a healthy diet by serving up some delightfully creamy Greek yogurt with sensational flavor. Our fat free Greek yogurt comes in single-serve cups, so you can live your life uninterrupted and enjoy them on the go. And with 80 calories and 12g of protein per 5.3 ounce serving, it’s a delicious, convenient option that can help you stick to a healthy routine. Pack a cup and enjoy it as a snack cup at work or as a post-workout snack. Or, you can add some to your breakfast parfaits and smoothies or use some in your favorite recipes as a flavorful sub for baking ingredients. Plus, these vanilla flavored yogurt cups can transform into a bold, yummy whipped cream topping for desserts. Add some fierce flavor to your day, every day, with a single serving snack cup in this Dannon Light + Fit Vanilla Greek Fat Free Yogurt Pack. *At least 50% less fat than average flavored Greek yogurt; Light & Fit: 80 calories, 0g fat; Average flavored Greek yogurt: 110 calories, 1g fat per 5.3 oz serving","Cultured Non Fat Milk, Water, Fructose, Less Than 1%: Natural & Artificial Flavors, Modified Food Starch, Acesulfame Potassium, Sucralose, Citric Acid, Potassium Sorbate (to Maintain Freshness), Yogurt Cultures L. Bulgaricus & S. Thermophilus",Ready To Eat,,,,,,,,
"Silk Soy Milk, Vanilla, Dairy Free, Gluten Free, Vegan Milk with Vitamin D to Help Support Strong Bones, 64 FL OZ Half Gallon",,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b27d75c5-4de6-4246-80ee-686efa25d2d5.jpg 4x,Gluten Free,,"Treat yourself with Silk Vanilla Soymilk.** Made with whole harvested soybeans grown by Mother Nature, this lactose free milk is the Original Nutrition Powerhouse. Plus, it's an extraordinary tasting plant based milk that you can use throughout your day. Every serving of this nondairy milk has 50% more calcium than dairy milk*, along with 6 grams of complete plant-based protein (12% DV). Silk Soymilk is totally free of dairy, gluten, carrageenan, cholesterol, artificial colors and artificial flavors. Looking for lactose free cooking or baking supplies? Whether you’re making a healthy smoothie, making a bowl of tasty cereal or drinking straight out of a glass, trust Silk — the Original Plant Pioneer. Read more about our story on our packaging. Enjoy all of the Silk products, including vegan milk, non dairy creamer and dairy free yogurt varieties. *Silk Vanilla Soymilk: 470mg calcium per cup; reduced fat dairy milk: 309mg calcium per cup. USDA, ARS. FoodData Central, 2022. **Flavored with other natural flavors.","Soymilk (filtered Water, Soybeans), Cane Sugar, Contains 2% Or Less Of: Vitamin And Mineral Blend (calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin [b2], Vitamin B12), Sea Salt, Sodium Ascorbate (vitamin C To Protect Freshness), Natural Flavor, Gellan Gum",Pour,Contains soy.,,,,,,,
